,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
10,"(0.22029273, 0.5273987, 0.64837825)","(0.20767233, 0.5395595, 0.595085)","(0.20422822, 0.51099557, 0.7237162)","(0.21959704, 0.5452796, 0.62534577)","(0.21322624, 0.48688075, 0.60266)","(0.3151797, 0.561081, 0.6678961)","(0.29672718, 0.45365888, 0.667734)","(0.41639036, 0.57202774, 0.4123694)","(0.41689035, 0.45889324, 0.65901476)","(0.5052723, 0.5905521, 0.3956)","(0.50711936, 0.47764558, 0.55906266)","(0.4999848, 0.56390905, 0.78571856)","(0.4970789, 0.49271783, 0.7796873)","(0.6871173, 0.5198744, 0.7529272)","(0.6968927, 0.4905957, 0.864468)","(0.8367597, 0.5121822, 0.6753386)","(0.8958203, 0.46903563, 0.6616616)","(0.21641164273023605, 0.5160801857709885, 0.6140028834342957)",0.05874534323811531,"(0.27739987274010974, 0.5140461921691895, 0.6613361239433289)",0.11729475899010823
11,"(0.21547672, 0.520568, 0.5515351)","(0.20174676, 0.5338943, 0.7403294)","(0.20107114, 0.5038681, 0.73060465)","(0.21644053, 0.54284054, 0.54237527)","(0.21570861, 0.4835623, 0.58418864)","(0.31290013, 0.56340575, 0.7163757)","(0.29464442, 0.45473582, 0.6686023)","(0.4151305, 0.5709293, 0.4169041)","(0.40934813, 0.45741618, 0.59327024)","(0.5038579, 0.58825815, 0.41952887)","(0.5027149, 0.48054704, 0.44795775)","(0.4967069, 0.564067, 0.7873132)","(0.49454105, 0.49305424, 0.8006706)","(0.68605316, 0.5187545, 0.75484145)","(0.6962868, 0.49019477, 0.8704684)","(0.83634204, 0.512277, 0.6745447)","(0.8969502, 0.4686163, 0.6559324)","(0.21607457101345062, 0.5132014155387878, 0.5632819533348083)",0.05928276851773262,"(0.27434042096138, 0.5129031936327616, 0.645504375298818)",0.11872126296797257
12,"(0.21542561, 0.51724315, 0.4736208)","(0.2001971, 0.527501, 0.77974534)","(0.20231795, 0.49947917, 0.6562258)","(0.21352881, 0.53956944, 0.6094465)","(0.21942638, 0.48065954, 0.6055722)","(0.30961648, 0.5622242, 0.71637267)","(0.29594594, 0.4582163, 0.7692869)","(0.4138082, 0.57019174, 0.41418374)","(0.40868616, 0.45967302, 0.5889909)","(0.50399375, 0.58687615, 0.4076098)","(0.503847, 0.47416145, 0.5906617)","(0.4965238, 0.56414425, 0.7857787)","(0.49428558, 0.49507928, 0.8004552)","(0.6858686, 0.51716816, 0.7410476)","(0.6957249, 0.49033844, 0.86392903)","(0.837101, 0.51193583, 0.68689626)","(0.8983859, 0.46811074, 0.6518191)","(0.21647759526968002, 0.5101144909858704, 0.6075093746185303)",0.05920436605811119,"(0.27366267641385394, 0.5125612219174703, 0.6530934472878774)",0.11684992533734873
13,"(0.21578787, 0.5102738, 0.49603906)","(0.19881526, 0.51948524, 0.5680874)","(0.20130989, 0.49440944, 0.5981958)","(0.21220575, 0.5349445, 0.61570054)","(0.21957299, 0.47624797, 0.50859654)","(0.29948574, 0.5606085, 0.6735501)","(0.29002267, 0.45866212, 0.75104666)","(0.4074429, 0.5616609, 0.42073172)","(0.41111213, 0.46549731, 0.51152974)","(0.5015752, 0.58396417, 0.36531213)","(0.50408125, 0.47535262, 0.5602829)","(0.49581537, 0.563671, 0.7896882)","(0.49365482, 0.49559432, 0.79281163)","(0.6857418, 0.51652116, 0.72867113)","(0.695951, 0.49082762, 0.8711523)","(0.8360578, 0.5126357, 0.6903854)","(0.9030981, 0.46558768, 0.7963227)","(0.2158893719315529, 0.5055962204933167, 0.5621485412120819)",0.05915704742074013,"(0.2684320956468582, 0.5098481476306915, 0.640211949745814)",0.10529188771500761
14,"(0.21333788, 0.5023559, 0.51205146)","(0.19997072, 0.51611376, 0.60425204)","(0.20115125, 0.48925638, 0.5924548)","(0.21395129, 0.5264502, 0.59424645)","(0.21779674, 0.47627792, 0.671658)","(0.29485518, 0.5551182, 0.6031551)","(0.28527257, 0.46022123, 0.684432)","(0.39170313, 0.56432617, 0.4418634)","(0.4072609, 0.46482453, 0.5328866)","(0.49944937, 0.58103275, 0.34991336)","(0.50172055, 0.4756388, 0.53084904)","(0.49439058, 0.5618233, 0.80314326)","(0.4919072, 0.49626967, 0.7977693)","(0.68274516, 0.51681465, 0.7184795)","(0.6956428, 0.49356973, 0.8548009)","(0.8348036, 0.51584804, 0.55624026)","(0.90333575, 0.4647047, 0.7798595)","(0.21587401628494263, 0.501364067196846, 0.6329522132873535)",0.050319451838731766,"(0.2644885430733363, 0.5058984359105428, 0.599879523118337)",0.1025463746337999
15,"(0.21242481, 0.4986442, 0.45357442)","(0.1985634, 0.51070523, 0.64581233)","(0.20184141, 0.48491335, 0.6520095)","(0.21278471, 0.52211297, 0.55593294)","(0.219389, 0.47309434, 0.71329343)","(0.29211798, 0.554523, 0.6077347)","(0.28637776, 0.46204326, 0.70869756)","(0.39280838, 0.5671861, 0.46419296)","(0.40912837, 0.46724212, 0.58754027)","(0.50273895, 0.5816233, 0.33027714)","(0.5078062, 0.47706246, 0.54790473)","(0.4948598, 0.55964327, 0.81453085)","(0.4917686, 0.49603853, 0.8072707)","(0.6829226, 0.516626, 0.7090078)","(0.69596136, 0.49430132, 0.8488964)","(0.8343283, 0.5154795, 0.53592664)","(0.9042964, 0.46503013, 0.78663224)","(0.21608685702085495, 0.4976036548614502, 0.6346131861209869)",0.049461521208286285,"(0.2636401851971944, 0.505070149898529, 0.5900022188822428)",0.10323385044199744
16,"(0.21535824, 0.4971382, 0.4406601)","(0.19910216, 0.5051985, 0.6178111)","(0.20464985, 0.48032945, 0.6032475)","(0.21179035, 0.5183368, 0.4410116)","(0.22174817, 0.46979535, 0.71717983)","(0.29062355, 0.54601014, 0.6453925)","(0.28671294, 0.46714267, 0.68831676)","(0.39262342, 0.5601326, 0.43001503)","(0.41064712, 0.4700374, 0.6199613)","(0.5009188, 0.5788635, 0.30907333)","(0.50862134, 0.47948998, 0.5192979)","(0.49614292, 0.5593358, 0.81763935)","(0.49388656, 0.49832115, 0.7787986)","(0.6833186, 0.51654756, 0.6853318)","(0.69681156, 0.49530745, 0.83613193)","(0.83216286, 0.51740587, 0.70920974)","(0.90440214, 0.46544012, 0.77788174)","(0.2167692631483078, 0.494066059589386, 0.579095721244812)",0.049552276730537415,"(0.2642315775156021, 0.5034303367137909, 0.5914564430713654)",0.09855341380006269
17,"(0.21612756, 0.49596155, 0.41699296)","(0.19900343, 0.50328875, 0.57685596)","(0.20508924, 0.47856086, 0.5865682)","(0.21166205, 0.51707625, 0.42558542)","(0.22298037, 0.4671881, 0.6892227)","(0.28714347, 0.54110205, 0.6061797)","(0.28805414, 0.46869895, 0.69561446)","(0.40481097, 0.5497868, 0.45577982)","(0.41552827, 0.4698943, 0.6631599)","(0.5005176, 0.57786125, 0.30103523)","(0.5145073, 0.4825532, 0.49343613)","(0.49954066, 0.55754423, 0.80327964)","(0.4969356, 0.49784523, 0.6730595)","(0.68095887, 0.5172934, 0.7020854)","(0.698642, 0.49660987, 0.59954846)","(0.83154607, 0.51817757, 0.7106474)","(0.90504766, 0.46498853, 0.7696791)","(0.21732120960950851, 0.49213217198848724, 0.5574040561914444)",0.05115596950054169,"(0.2637750556071599, 0.5019208490848541, 0.5729290445645651)",0.09603743361361752
18,"(0.22178864, 0.49827296, 0.49257347)","(0.20465058, 0.50736934, 0.57037216)","(0.21167195, 0.48519537, 0.4922936)","(0.21730846, 0.5168829, 0.503079)","(0.22850358, 0.46833783, 0.6262468)","(0.29061157, 0.5418314, 0.5959426)","(0.29269812, 0.4688353, 0.7004504)","(0.40959585, 0.54885143, 0.4677357)","(0.41887093, 0.47244018, 0.6588136)","(0.5042227, 0.5823053, 0.28772658)","(0.510952, 0.495262, 0.31380355)","(0.50098836, 0.5565425, 0.77744883)","(0.4969834, 0.49768353, 0.76599145)","(0.6824466, 0.51533526, 0.67222416)","(0.6996218, 0.49798748, 0.60237324)","(0.834139, 0.517211, 0.67498016)","(0.90456855, 0.46458825, 0.7791277)","(0.22290602326393127, 0.492610365152359, 0.564662903547287)",0.0498192124068737,"(0.26836610833803815, 0.5029798746109009, 0.5963221689065298)",0.09362937997872846
19,"(0.2207318, 0.49714178, 0.47858956)","(0.2035603, 0.5048433, 0.6034655)","(0.21118174, 0.48390538, 0.49614453)","(0.21518868, 0.5150989, 0.5772045)","(0.22929418, 0.46681032, 0.6051903)","(0.29044586, 0.53886276, 0.54386985)","(0.29556796, 0.47121963, 0.7444102)","(0.40704247, 0.55403453, 0.38070065)","(0.42047948, 0.4762637, 0.6433326)","(0.50583124, 0.58357036, 0.25928527)","(0.5056741, 0.48785028, 0.31569433)","(0.49911937, 0.55736065, 0.78910124)","(0.49753177, 0.49887145, 0.70961124)","(0.6825285, 0.51506364, 0.6642542)","(0.69848967, 0.4977766, 0.6159087)","(0.83694553, 0.5143629, 0.50376725)","(0.9038121, 0.46446335, 0.7908058)","(0.22224143147468567, 0.4909546226263046, 0.5911974012851715)",0.050306614488363266,"(0.26891520619392395, 0.5024080574512482, 0.5889565447966257)",0.09694069990637402
