,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
10,"(0.3793106, 0.48183548, 0.47902387)","(0.36297438, 0.49280128, 0.65362453)","(0.36597002, 0.46216375, 0.6312735)","(0.3694204, 0.51128745, 0.6739337)","(0.37573814, 0.4472974, 0.5632297)","(0.44118106, 0.5593851, 0.6718759)","(0.44013712, 0.41198093, 0.67484295)","(0.57376385, 0.5717273, 0.4132582)","(0.5574138, 0.38410553, 0.5157468)","(0.59652555, 0.5488581, 0.3354801)","(0.56921184, 0.3886896, 0.44856045)","(0.6240399, 0.5028128, 0.6503216)","(0.6193494, 0.42903334, 0.741619)","(0.8415121, 0.4747269, 0.6588706)","(0.83567804, 0.4120968, 0.5532267)","(0.9791367, 0.49123976, 0.74265945)","(0.9830879, 0.4197566, 0.7712402)","(0.37257927656173706, 0.4792924225330353, 0.6185816824436188)",0.06430117785930634,"(0.4202095965544383, 0.48440051078796387, 0.6085809071858724)",0.08195868793383523
11,"(0.3804198, 0.47769952, 0.43071043)","(0.3644832, 0.49166772, 0.6883105)","(0.3674822, 0.4628988, 0.70878744)","(0.36954904, 0.50882816, 0.69128466)","(0.37599692, 0.44808456, 0.6863587)","(0.43265694, 0.5520983, 0.79120576)","(0.43733776, 0.41819942, 0.7293279)","(0.5505925, 0.58545136, 0.56788397)","(0.54967445, 0.39097315, 0.47650382)","(0.5387391, 0.5302346, 0.4139195)","(0.54480696, 0.4041689, 0.52946544)","(0.61814356, 0.4999184, 0.69379365)","(0.6169389, 0.42940634, 0.7475588)","(0.83964, 0.47754705, 0.6934264)","(0.83350605, 0.4111278, 0.5900148)","(0.9803822, 0.49149126, 0.7231072)","(0.98519933, 0.42132604, 0.7465133)","(0.3727729767560959, 0.47845636308193207, 0.6888216733932495)",0.06108485907316208,"(0.41680483023325604, 0.48266573746999103, 0.6504147052764893)",0.07344479375363189
12,"(0.37249666, 0.47452384, 0.47203776)","(0.3587192, 0.48757362, 0.6052107)","(0.36190066, 0.4604785, 0.57864606)","(0.3652756, 0.50686693, 0.69988066)","(0.37036318, 0.44576073, 0.7399096)","(0.4302423, 0.54952973, 0.7725994)","(0.43585667, 0.41423544, 0.71335363)","(0.5422615, 0.59188724, 0.5691168)","(0.55766964, 0.3861385, 0.5730492)","(0.5072769, 0.5055815, 0.39339748)","(0.5374539, 0.40619847, 0.369555)","(0.6140312, 0.5000334, 0.748812)","(0.6155212, 0.4310894, 0.7502543)","(0.8374728, 0.4853322, 0.7727555)","(0.83322823, 0.4129182, 0.6923888)","(0.9829937, 0.49349046, 0.6603363)","(0.98708653, 0.42185006, 0.75039446)","(0.3678193837404251, 0.47631382942199707, 0.7198951244354248)",0.06131763011217117,"(0.41286521156628925, 0.4794296721617381, 0.6526635984579722)",0.08133109507662085
13,"(0.3640899, 0.47428823, 0.57546973)","(0.34842825, 0.4875927, 0.6392464)","(0.3501504, 0.45985848, 0.65818465)","(0.35586852, 0.5061342, 0.53411126)","(0.3604773, 0.4454776, 0.6947072)","(0.42264542, 0.55087876, 0.75438535)","(0.42822385, 0.41280922, 0.71405834)","(0.53695637, 0.5991859, 0.6395328)","(0.5574609, 0.3857039, 0.5556895)","(0.52166796, 0.527045, 0.4626499)","(0.5296221, 0.40856308, 0.33237913)","(0.606122, 0.50659674, 0.7709652)","(0.6068735, 0.43420023, 0.6540859)","(0.83889055, 0.49512422, 0.6790072)","(0.8338667, 0.42175567, 0.7808912)","(0.98497367, 0.49873513, 0.6947538)","(0.98815286, 0.42484182, 0.74877983)","(0.3581729084253311, 0.4758059084415436, 0.6144092381000519)",0.06083144620060921,"(0.4049863914648692, 0.479325403769811, 0.6813044746716818)",0.08241105930504114
14,"(0.34973806, 0.4734612, 0.537148)","(0.33718222, 0.48655766, 0.41985628)","(0.3381744, 0.46026763, 0.4473462)","(0.34634084, 0.50417507, 0.6078646)","(0.3474033, 0.4449223, 0.7212609)","(0.4111008, 0.54317594, 0.7190045)","(0.41223353, 0.411421, 0.7408222)","(0.53281087, 0.5924543, 0.59830177)","(0.54526573, 0.37435293, 0.5407632)","(0.49109313, 0.5153489, 0.47195372)","(0.48588437, 0.41531134, 0.3380376)","(0.5881077, 0.50780135, 0.56370926)","(0.5874925, 0.4390754, 0.71704894)","(0.8286917, 0.49468768, 0.5429076)","(0.825412, 0.43401742, 0.781646)","(0.9862589, 0.499893, 0.5824389)","(0.9859926, 0.42674968, 0.8104099)","(0.3468720614910126, 0.47454868257045746, 0.6645627617835999)",0.059262290596961975,"(0.3910241325696309, 0.47601938247680664, 0.6656582355499268)",0.08273050013154747
15,"(0.33717704, 0.47313952, 0.493276)","(0.32255113, 0.4871742, 0.72933793)","(0.32183254, 0.4588868, 0.4839619)","(0.33396065, 0.50296885, 0.48777515)","(0.33375344, 0.44165513, 0.5532227)","(0.39614806, 0.54184276, 0.6736716)","(0.40230843, 0.400236, 0.8359089)","(0.5260191, 0.5902592, 0.51796085)","(0.53319466, 0.3641106, 0.7249228)","(0.46992332, 0.50296366, 0.40281382)","(0.4625669, 0.42324919, 0.6781338)","(0.5782379, 0.51249063, 0.6117727)","(0.578078, 0.44176698, 0.74680114)","(0.82302463, 0.500676, 0.6021507)","(0.820162, 0.4411568, 0.5904578)","(0.98530984, 0.49927434, 0.5196326)","(0.98278636, 0.42879206, 0.80937743)","(0.33385704457759857, 0.47231198847293854, 0.5204989314079285)",0.061314068734645844,"(0.37854450941085815, 0.47173943122227985, 0.6676188309987386)",0.08278231540745755
16,"(0.32050484, 0.46848738, 0.56594497)","(0.30560786, 0.48537418, 0.63204885)","(0.30406067, 0.45619333, 0.5482105)","(0.32234228, 0.5020348, 0.5858725)","(0.3195496, 0.43876132, 0.5809716)","(0.38613412, 0.53768086, 0.6117439)","(0.3915281, 0.39510375, 0.80469936)","(0.51698315, 0.5857783, 0.5779059)","(0.5090591, 0.35958752, 0.69840205)","(0.46628332, 0.50347495, 0.3209896)","(0.4541609, 0.4334442, 0.5194328)","(0.56791973, 0.51577914, 0.7238787)","(0.5692541, 0.44223344, 0.7643789)","(0.80018556, 0.5094236, 0.8064369)","(0.802356, 0.43570825, 0.6913113)","(0.9830611, 0.49956638, 0.5212061)","(0.98146224, 0.43054837, 0.8416724)","(0.32094593346118927, 0.47039805352687836, 0.5834220349788666)",0.06333506107330322,"(0.366055687268575, 0.4670906662940979, 0.6607960859934489)",0.09114450328725625
17,"(0.32089663, 0.46766335, 0.5546362)","(0.30528453, 0.4842906, 0.64669526)","(0.3034367, 0.45585155, 0.6028296)","(0.32111904, 0.49966276, 0.52152085)","(0.31693086, 0.4374001, 0.5318543)","(0.38221413, 0.53400403, 0.7250648)","(0.38388523, 0.39071316, 0.72658813)","(0.51363677, 0.57342106, 0.6368475)","(0.49724984, 0.36179203, 0.71037954)","(0.47043344, 0.50390196, 0.3030792)","(0.45790812, 0.44192827, 0.46926212)","(0.565187, 0.51951844, 0.7607373)","(0.56881887, 0.44442946, 0.77511865)","(0.7920043, 0.5093311, 0.7919452)","(0.79594725, 0.4437657, 0.68411744)","(0.9783945, 0.50062853, 0.58820564)","(0.9831109, 0.4326005, 0.8051098)","(0.3190249502658844, 0.46853142976760864, 0.5266875624656677)",0.062403354793787,"(0.3623319963614146, 0.4641268452008565, 0.6687630414962769)",0.08317203392825696
18,"(0.3181528, 0.46520886, 0.4602257)","(0.30536085, 0.48201117, 0.54634285)","(0.3026206, 0.4553215, 0.63420886)","(0.32135117, 0.4971314, 0.53776175)","(0.31501383, 0.4360723, 0.54507685)","(0.38496575, 0.5275577, 0.76363313)","(0.38356495, 0.39059076, 0.82283837)","(0.5085292, 0.56991696, 0.57183)","(0.4900907, 0.36373758, 0.6635562)","(0.4681712, 0.5073346, 0.3770982)","(0.45193106, 0.43910664, 0.45458844)","(0.5573077, 0.51988745, 0.76096004)","(0.5654411, 0.44878018, 0.7943227)","(0.78521156, 0.51554215, 0.79869366)","(0.79195595, 0.45487136, 0.76562655)","(0.9776001, 0.5056808, 0.7186108)","(0.980198, 0.43897447, 0.8245344)","(0.31818249821662903, 0.4666018486022949, 0.5414192974567413)",0.061387114226818085,"(0.36222782731056213, 0.4611190954844157, 0.682232399781545)",0.08852876340755932
19,"(0.32640254, 0.45929357, 0.47791648)","(0.31311095, 0.4786085, 0.51337284)","(0.3108781, 0.44716918, 0.6053188)","(0.32802063, 0.49373958, 0.639326)","(0.32185248, 0.43078882, 0.7409549)","(0.3788604, 0.5197632, 0.6837202)","(0.38196796, 0.39115798, 0.78273827)","(0.49103093, 0.551714, 0.55300957)","(0.47843862, 0.35812172, 0.44324845)","(0.4583437, 0.49041635, 0.36677414)","(0.45218778, 0.43121845, 0.4372225)","(0.5707874, 0.51814836, 0.7433485)","(0.57807857, 0.4460182, 0.7482575)","(0.7953663, 0.5210029, 0.6896463)","(0.79876155, 0.45794138, 0.7476921)","(0.97836554, 0.5119037, 0.7711982)","(0.9819118, 0.44526643, 0.8523662)","(0.32493655383586884, 0.46226419508457184, 0.690140426158905)",0.06325222551822662,"(0.362410306930542, 0.45673824350039166, 0.6481249729792277)",0.07219663802347963
