,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
10,"(0.34844542, 0.3480762, 0.42158136)","(0.34065768, 0.35213208, 0.3279733)","(0.33799073, 0.33948964, 0.31609568)","(0.3460754, 0.36859566, 0.35102308)","(0.34080958, 0.33034894, 0.46126887)","(0.3850022, 0.41184247, 0.73001873)","(0.3886771, 0.2893809, 0.6250993)","(0.44730315, 0.4503215, 0.3045603)","(0.44352803, 0.24116848, 0.49655348)","(0.4714042, 0.45819137, 0.3660311)","(0.48909387, 0.20183568, 0.26468515)","(0.5326612, 0.40280288, 0.6571415)","(0.54381484, 0.3273014, 0.6517911)","(0.60756636, 0.5191951, 0.24996153)","(0.6477052, 0.3239873, 0.36500573)","(0.6543211, 0.5343704, 0.17538571)","(0.74575603, 0.32879257, 0.23270151)","(0.34344248473644257, 0.3494722992181778, 0.40614597499370575)",0.03860751539468765,"(0.3740415672461192, 0.3497665226459503, 0.5922331313292185)",0.05130380857324752
11,"(0.37094557, 0.3386839, 0.3457473)","(0.35820648, 0.34315842, 0.3841315)","(0.35862488, 0.33352154, 0.29502338)","(0.3598636, 0.34959847, 0.29725325)","(0.35713655, 0.33011296, 0.3374325)","(0.39417797, 0.38307422, 0.4652749)","(0.40489, 0.29184783, 0.50106686)","(0.45213717, 0.4341124, 0.20046982)","(0.467461, 0.23457074, 0.32801896)","(0.45713136, 0.42784315, 0.22336423)","(0.49893972, 0.2437903, 0.23689562)","(0.5299069, 0.3808732, 0.47831628)","(0.5440298, 0.3309113, 0.4463019)","(0.65535545, 0.35072547, 0.3660497)","(0.65412885, 0.33301798, 0.4421365)","(0.7587712, 0.33051684, 0.2647126)","(0.76069283, 0.33256608, 0.19247136)","(0.35850007832050323, 0.33985571563243866, 0.3173428773880005)",0.01967540942132473,"(0.3900045156478882, 0.3378686507542928, 0.43736301859219867)",0.03815274234095978
12,"(0.4046398, 0.32905304, 0.3436696)","(0.39595458, 0.33746335, 0.28966606)","(0.3966781, 0.32448232, 0.29231927)","(0.3886201, 0.3484604, 0.25380188)","(0.3863675, 0.3157879, 0.35479152)","(0.41874766, 0.38788077, 0.37523896)","(0.42646456, 0.27609134, 0.4643751)","(0.44772094, 0.43819022, 0.29600304)","(0.4911537, 0.22995326, 0.4044757)","(0.4530438, 0.42721033, 0.18936792)","(0.51842904, 0.24634796, 0.17703912)","(0.5485257, 0.38036853, 0.30217057)","(0.5527854, 0.30482298, 0.38221657)","(0.6329533, 0.3562698, 0.15957433)","(0.624186, 0.3010502, 0.14833534)","(0.6742489, 0.34744605, 0.09647107)","(0.761189, 0.28621823, 0.14823288)","(0.3874938040971756, 0.33212415874004364, 0.30429670214653015)",0.03275005519390106,"(0.41661734382311505, 0.331008384625117, 0.394427885611852)",0.024272178677767965
13,"(0.487493, 0.3139876, 0.3575993)","(0.47801447, 0.327911, 0.3100345)","(0.4779635, 0.30675727, 0.3821389)","(0.45001823, 0.34871083, 0.35715842)","(0.4493122, 0.29437482, 0.37889576)","(0.45117635, 0.39326066, 0.45911828)","(0.46689534, 0.2579539, 0.57607484)","(0.5223564, 0.47912133, 0.25786346)","(0.54955626, 0.21140325, 0.32573694)","(0.52167755, 0.37671077, 0.14514458)","(0.63032615, 0.18094246, 0.28307647)","(0.60396135, 0.38183153, 0.2819283)","(0.6020156, 0.2931092, 0.33658466)","(0.6540245, 0.35349733, 0.20608124)","(0.652658, 0.2424141, 0.083675295)","(0.73644614, 0.34348926, 0.11608949)","(0.7484016, 0.26324606, 0.09010342)","(0.44966521859169006, 0.3215428292751312, 0.36802709102630615)",0.05434060096740723,"(0.4685215651988983, 0.3217340608437856, 0.4642641345659892)",0.040984051271597856
14,"(0.5333593, 0.29503512, 0.3542241)","(0.5197437, 0.3080076, 0.36564615)","(0.5213814, 0.28762484, 0.3046859)","(0.49248248, 0.33896303, 0.46783298)","(0.49845225, 0.29173565, 0.3056677)","(0.50636494, 0.39224476, 0.3489468)","(0.52753747, 0.27066556, 0.37475294)","(0.6534499, 0.37339526, 0.2526946)","(0.6353815, 0.22492847, 0.16114211)","(0.6862077, 0.3642617, 0.11538035)","(0.6594559, 0.21879493, 0.09302086)","(0.6522213, 0.43732828, 0.109193414)","(0.65695846, 0.33679685, 0.18957967)","(0.6466204, 0.36466843, 0.1566121)","(0.6448288, 0.29233596, 0.10084307)","(0.74718064, 0.3658321, 0.05943352)","(0.74989927, 0.3027718, 0.07902157)","(0.4954673647880554, 0.3153493404388428, 0.38675034046173096)",0.04760318994522095,"(0.5224205652872721, 0.31931514541308087, 0.3593079447746277)",0.05326068450486216
15,"(0.5118213, 0.31287196, 0.3884707)","(0.5003297, 0.3234719, 0.38954467)","(0.5048251, 0.30226797, 0.42755818)","(0.4833314, 0.33442122, 0.3508944)","(0.4913925, 0.29018906, 0.42028433)","(0.48333678, 0.3630672, 0.32452798)","(0.5070381, 0.26426625, 0.51516575)","(0.5204588, 0.37483132, 0.23012844)","(0.56905186, 0.25638643, 0.18300566)","(0.50975454, 0.3547836, 0.29266462)","(0.54373884, 0.27270386, 0.27532768)","(0.5885473, 0.36535096, 0.29830202)","(0.5930073, 0.29840115, 0.3389217)","(0.68599784, 0.36088628, 0.3181857)","(0.6915197, 0.26592135, 0.1839186)","(0.72967947, 0.35879704, 0.08676866)","(0.7729091, 0.28245032, 0.26834184)","(0.48736195266246796, 0.31230513751506805, 0.3855893611907959)",0.04496070370078087,"(0.5007320741812388, 0.3134018083413442, 0.40938814481099445)",0.022203812457746337
16,"(0.5417068, 0.29671645, 0.32342607)","(0.5376779, 0.30305898, 0.34092787)","(0.5383902, 0.28270787, 0.37649393)","(0.54163873, 0.33586353, 0.2865513)","(0.540588, 0.27721515, 0.3194698)","(0.53668666, 0.3725321, 0.22001052)","(0.545111, 0.27619895, 0.34723145)","(0.643373, 0.4785835, 0.20521814)","(0.56851786, 0.2602529, 0.24094427)","(0.5555751, 0.33190545, 0.18892631)","(0.5747708, 0.27548397, 0.24411756)","(0.6196537, 0.47501025, 0.17950252)","(0.60959494, 0.3485093, 0.15629518)","(0.70499885, 0.39824677, 0.12333259)","(0.6877345, 0.294618, 0.1754474)","(0.75718784, 0.33445126, 0.13367066)","(0.7409842, 0.28417873, 0.11988786)","(0.5411133766174316, 0.3065393418073654, 0.3030105531215668)",0.05865779146552086,"(0.5411681532859802, 0.3151491681734721, 0.29688934485117596)",0.03688117023098626
17,"(0.50353765, 0.28551096, 0.3112427)","(0.49856827, 0.29535303, 0.36381134)","(0.49772176, 0.2822556, 0.3582635)","(0.4935114, 0.30815452, 0.38056368)","(0.4938572, 0.27395537, 0.33998305)","(0.51113737, 0.33058417, 0.4559951)","(0.51734006, 0.2521041, 0.37937552)","(0.549949, 0.3470795, 0.40666193)","(0.56248116, 0.23832244, 0.40934923)","(0.5682524, 0.33600938, 0.29412854)","(0.5789465, 0.26078045, 0.3218255)","(0.59702176, 0.3258351, 0.3800797)","(0.6033876, 0.27169803, 0.33867973)","(0.67705625, 0.32186854, 0.2713979)","(0.6790232, 0.26089156, 0.3151831)","(0.7475368, 0.31391633, 0.22503981)","(0.75931406, 0.2610493, 0.21476516)","(0.4936843067407608, 0.29105494916439056, 0.3602733612060547)",0.034200895577669144,"(0.5106716950734457, 0.28939974308013916, 0.38220444321632385)",0.016250191978052483
18,"(0.55378747, 0.31050268, 0.20058745)","(0.5536753, 0.31708705, 0.29239142)","(0.54152447, 0.29406843, 0.27715534)","(0.54845655, 0.33310157, 0.24597618)","(0.5404801, 0.28824124, 0.21913046)","(0.5436616, 0.3490849, 0.28668785)","(0.54933107, 0.2705546, 0.22171694)","(0.6397713, 0.47892877, 0.17236438)","(0.57398206, 0.24674368, 0.22017863)","(0.66296494, 0.4292224, 0.062103182)","(0.5750384, 0.25776413, 0.2632833)","(0.58478725, 0.35075054, 0.2030901)","(0.58325404, 0.29491025, 0.27257174)","(0.6490357, 0.3260712, 0.20506021)","(0.6261166, 0.27182737, 0.23993683)","(0.715717, 0.32057154, 0.07837343)","(0.7699308, 0.27973086, 0.22922039)","(0.5444683134555817, 0.310671404004097, 0.23255331814289093)",0.0455639511346817,"(0.5489267110824585, 0.3100473980108897, 0.23633074760437012)",0.009764067992741298
19,"(0.66415954, 0.5018943, 0.24009109)","(0.66275615, 0.50560236, 0.27777565)","(0.66245884, 0.5007749, 0.24564594)","(0.6417277, 0.51143324, 0.24584913)","(0.636657, 0.4866274, 0.2559746)","(0.6263894, 0.49475646, 0.20490539)","(0.6260572, 0.47025818, 0.29185045)","(0.6733705, 0.49799618, 0.14316654)","(0.6736046, 0.43753788, 0.07629934)","(0.6993716, 0.48680478, 0.1403135)","(0.7157601, 0.4791569, 0.13751763)","(0.6030505, 0.4662047, 0.1363818)","(0.60403514, 0.46186602, 0.1518668)","(0.690938, 0.43089885, 0.08734876)","(0.677082, 0.45800346, 0.12313476)","(0.73375833, 0.43959844, 0.044911355)","(0.7342042, 0.4654847, 0.06463617)","(0.6391923427581787, 0.49903032183647156, 0.2509118616580963)",0.025318801403045654,"(0.6388687094052633, 0.4889696439107259, 0.24561564127604166)",0.05680396251998255
