,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
10,"(0.21322823, 0.53035104, 0.7327301)","(0.20111683, 0.5630453, 0.6971479)","(0.18720648, 0.508928, 0.68801594)","(0.24377674, 0.5811629, 0.579905)","(0.21828113, 0.4638643, 0.7596329)","(0.4226898, 0.6358726, 0.9358942)","(0.39954633, 0.38794777, 0.79439795)","(0.67192686, 0.66738456, 0.72273964)","(0.34131333, 0.23378757, 0.66776794)","(0.9089119, 0.7346008, 0.54212123)","(0.25529927, 0.4120652, 0.6356947)","(0.8305322, 0.61956996, 0.8680254)","(0.82708156, 0.44351888, 0.8554512)","(0.95476526, 0.6485486, 0.10324788)","(0.97802067, 0.43838924, 0.09756586)","(0.9342732, 0.6404273, 0.10714978)","(0.9535543, 0.46284604, 0.08199069)","(0.2310289368033409, 0.5225136131048203, 0.6697689294815063)",0.12003747373819351,"(0.3451547821362813, 0.5180571377277374, 0.8210074106852213)",0.2649962746278318
11,"(0.22143811, 0.529389, 0.8060044)","(0.21107322, 0.5630612, 0.6989911)","(0.19586936, 0.50904715, 0.79851687)","(0.25514898, 0.58225876, 0.49449545)","(0.22777513, 0.46816096, 0.747504)","(0.42593858, 0.6372934, 0.9423213)","(0.40826303, 0.39652395, 0.85936284)","(0.6718229, 0.6685257, 0.7141362)","(0.3410971, 0.23260705, 0.73223335)","(0.906608, 0.7349686, 0.6004443)","(0.26975504, 0.40421915, 0.5490541)","(0.8314854, 0.6186887, 0.85754)","(0.8277178, 0.44637334, 0.855464)","(0.95326585, 0.6457298, 0.098336875)","(0.9777396, 0.43737775, 0.09478742)","(0.9468868, 0.6417041, 0.12066239)","(0.9543206, 0.46081787, 0.0738537)","(0.24146205186843872, 0.5252098590135574, 0.6209997236728668)",0.11733557283878326,"(0.35187990466753644, 0.521068791548411, 0.8692295153935751)",0.26141375704557784
12,"(0.22994742, 0.5278158, 0.6031255)","(0.21902655, 0.5623294, 0.74509716)","(0.20528428, 0.5075362, 0.76141244)","(0.26043501, 0.5838275, 0.5822254)","(0.2369633, 0.47311258, 0.75835603)","(0.42802796, 0.6379733, 0.93888867)","(0.41055733, 0.4013465, 0.87913203)","(0.6674447, 0.6712291, 0.7567211)","(0.34767815, 0.23499006, 0.7605276)","(0.89508545, 0.7341353, 0.5347222)","(0.28816694, 0.39947444, 0.5824815)","(0.82798016, 0.6211747, 0.87886983)","(0.82696974, 0.448917, 0.853316)","(0.95280117, 0.6506759, 0.08885759)","(0.9736755, 0.44202182, 0.10048497)","(0.9340807, 0.64202183, 0.10177541)","(0.9324869, 0.46523294, 0.077771634)","(0.2486991584300995, 0.5284700393676758, 0.6702907085418701)",0.11317558586597443,"(0.35617756843566895, 0.5223785440127054, 0.8070487380027771)",0.25269439916565994
13,"(0.23583904, 0.5317299, 0.7248433)","(0.22388405, 0.56484777, 0.7335123)","(0.21134208, 0.5134214, 0.7287661)","(0.2651288, 0.5848699, 0.57175785)","(0.24218056, 0.47329175, 0.690168)","(0.42979842, 0.63780975, 0.9294323)","(0.41036126, 0.40231627, 0.86275125)","(0.6527474, 0.6708357, 0.70458806)","(0.34935424, 0.23739463, 0.743856)","(0.87741536, 0.7342237, 0.48154187)","(0.29144412, 0.4024126, 0.6171393)","(0.8147254, 0.62037206, 0.8832931)","(0.81257415, 0.45129353, 0.854164)","(0.93442583, 0.6465231, 0.073202014)","(0.9741406, 0.44397053, 0.09695962)","(0.9284146, 0.6324815, 0.107347935)","(0.9293437, 0.47215497, 0.10682303)","(0.25365467369556427, 0.5290808379650116, 0.6309629380702972)",0.11391360312700272,"(0.35866624116897583, 0.5239519675572714, 0.8390089472134908)",0.24614643971779715
14,"(0.24225132, 0.53308064, 0.78514695)","(0.23023564, 0.56507194, 0.6868262)","(0.21589494, 0.5159579, 0.7907299)","(0.2684074, 0.58606267, 0.60763)","(0.24780315, 0.47734815, 0.6851878)","(0.4289682, 0.63884646, 0.9307772)","(0.41427726, 0.40893453, 0.8572651)","(0.6496324, 0.6745061, 0.5625334)","(0.35996255, 0.23393434, 0.71314245)","(0.8704168, 0.7367449, 0.68271)","(0.29570174, 0.39726612, 0.60294116)","(0.80721474, 0.6196312, 0.9031913)","(0.8038976, 0.45468086, 0.8712882)","(0.9323284, 0.6467706, 0.0640088)","(0.97648406, 0.45242187, 0.10322359)","(0.90787977, 0.67205876, 0.056007057)","(0.9089116, 0.45647323, 0.062292784)","(0.2581052780151367, 0.5317054092884064, 0.6464089155197144)",0.11064981669187546,"(0.36183225611845654, 0.5269538760185242, 0.8577297528584799)",0.23947556942998463
15,"(0.24457642, 0.5303384, 0.78638554)","(0.2344191, 0.5616092, 0.714985)","(0.21983665, 0.51357865, 0.8243674)","(0.27454078, 0.58313274, 0.56465423)","(0.25057673, 0.47774646, 0.69575405)","(0.4246241, 0.64137363, 0.7826952)","(0.41384614, 0.4128433, 0.8364779)","(0.6461133, 0.6784005, 0.8746077)","(0.36864507, 0.24524967, 0.6990307)","(0.8601402, 0.7413839, 0.74747807)","(0.29057872, 0.40873918, 0.58619934)","(0.8008386, 0.61537945, 0.92031646)","(0.79291743, 0.45435417, 0.8778768)","(0.9133978, 0.6368372, 0.05753216)","(0.98682594, 0.44474173, 0.16561583)","(0.9085438, 0.6346143, 0.07527086)","(0.92748165, 0.45012188, 0.08392146)","(0.2625587582588196, 0.5304396003484726, 0.6302041411399841)",0.10807657241821289,"(0.36101554830869037, 0.5281851092974345, 0.8018528620402018)",0.23291806520738084
16,"(0.24939798, 0.53008026, 0.7361157)","(0.2393584, 0.56115466, 0.71885145)","(0.22432062, 0.5144483, 0.71285087)","(0.27838677, 0.5818243, 0.552463)","(0.256018, 0.48315367, 0.69833803)","(0.42383322, 0.64129984, 0.7643812)","(0.4145963, 0.41863286, 0.8041644)","(0.6413039, 0.68242705, 0.7913085)","(0.3868812, 0.25282854, 0.7420121)","(0.8358427, 0.7412108, 0.8109239)","(0.2988589, 0.40086135, 0.59821886)","(0.7952432, 0.6122736, 0.8690237)","(0.78883785, 0.45299825, 0.8779733)","(0.9144451, 0.62482524, 0.06667557)","(1.002056, 0.4346292, 0.1355646)","(0.91057444, 0.6107528, 0.07494068)","(0.9277834, 0.46179193, 0.09889296)","(0.26720239222049713, 0.5324889868497849, 0.6254005134105682)",0.10117437690496445,"(0.3626091629266739, 0.5300043225288391, 0.7682204246520996)",0.22642242041435542
17,"(0.25024045, 0.53034055, 0.5811083)","(0.24183767, 0.5602931, 0.7183993)","(0.22958253, 0.51581395, 0.6138243)","(0.2853156, 0.5800947, 0.6426417)","(0.2616346, 0.48355132, 0.69857013)","(0.42420837, 0.63586193, 0.9208861)","(0.41907632, 0.42164475, 0.76452625)","(0.6333163, 0.6847853, 0.85200816)","(0.4007057, 0.25082392, 0.6743414)","(0.8044994, 0.75073993, 0.82654)","(0.30562672, 0.3789631, 0.7198964)","(0.78955984, 0.6122447, 0.8917129)","(0.78486174, 0.45499313, 0.8725699)","(0.9728386, 0.6174059, 0.1356056)","(0.99077225, 0.44290715, 0.16336232)","(0.89831316, 0.6086012, 0.07867932)","(0.9280865, 0.4623537, 0.09815106)","(0.2734750956296921, 0.5318230092525482, 0.6706059277057648)",0.09940529614686966,"(0.36450838049252826, 0.5292824109395345, 0.7555068731307983)",0.22854566907830015
18,"(0.2590218, 0.5310385, 0.8014822)","(0.24997082, 0.55982745, 0.5500523)","(0.2365303, 0.5160678, 0.7796688)","(0.28780034, 0.5792545, 0.63406074)","(0.26655984, 0.48482132, 0.5574403)","(0.4242508, 0.637307, 0.81411934)","(0.42044896, 0.42187375, 0.87045836)","(0.62163943, 0.6873087, 0.83775854)","(0.42112327, 0.2577213, 0.7476094)","(0.77983105, 0.7610229, 0.67850745)","(0.31582946, 0.38294062, 0.7682605)","(0.7838854, 0.6068264, 0.90891933)","(0.783093, 0.45511255, 0.8775333)","(0.97116464, 0.6195103, 0.10360229)","(1.0003822, 0.4464552, 0.15253866)","(0.87978214, 0.58244544, 0.04948148)","(0.89202166, 0.46020436, 0.06420651)","(0.27718009054660797, 0.5320379137992859, 0.5957505106925964)",0.09679248929023743,"(0.367907186349233, 0.530073086420695, 0.8286866346995035)",0.2177793549349135
19,"(0.26615095, 0.5298274, 0.81205535)","(0.25630838, 0.5568752, 0.7641628)","(0.24608886, 0.51257384, 0.7566215)","(0.29330772, 0.5785148, 0.7194401)","(0.2785573, 0.48440823, 0.74666584)","(0.42800018, 0.6343292, 0.8329315)","(0.42375988, 0.4258911, 0.926435)","(0.61528325, 0.6886072, 0.8574779)","(0.43196732, 0.26983842, 0.8164811)","(0.74042547, 0.7624194, 0.5929316)","(0.3056978, 0.38192484, 0.8005388)","(0.78051585, 0.604591, 0.90406466)","(0.7799343, 0.45732105, 0.87239)","(0.97895736, 0.6012252, 0.15211406)","(0.989916, 0.44368884, 0.20275238)","(0.8953721, 0.5754273, 0.07472044)","(0.9084635, 0.46106017, 0.0971328)","(0.2859325110912323, 0.5314615219831467, 0.7330529689788818)",0.09525557607412338,"(0.372637003660202, 0.5300159056981405, 0.8571406205495199)",0.21297243819272696
20,"(0.27076948, 0.5328201, 0.6512693)","(0.26113573, 0.5610025, 0.63604367)","(0.25147513, 0.5156445, 0.68558335)","(0.29861677, 0.58130115, 0.5752109)","(0.28385246, 0.48553306, 0.7506244)","(0.43587565, 0.63443506, 0.8843888)","(0.4250977, 0.42548275, 0.9313041)","(0.6136378, 0.6984501, 0.73719746)","(0.4397057, 0.2713391, 0.82279366)","(0.6735581, 0.75841737, 0.29216844)","(0.30715504, 0.37572688, 0.7561618)","(0.7851009, 0.60356355, 0.89630663)","(0.7828165, 0.4572099, 0.8769275)","(1.0006001, 0.60101473, 0.14763594)","(0.98949355, 0.44293326, 0.17335802)","(0.8861913, 0.5646178, 0.07289231)","(0.8812987, 0.4603295, 0.09428322)","(0.2912346124649048, 0.5334171056747437, 0.6629176735877991)",0.09689949452877045,"(0.3772476116816203, 0.5309126377105713, 0.8223207394282023)",0.21299043755202735
21,"(0.28270817, 0.53263295, 0.8565271)","(0.2722283, 0.5600256, 0.6605444)","(0.2626793, 0.51598454, 0.8747265)","(0.30978376, 0.57950944, 0.6698723)","(0.29365605, 0.48521706, 0.69256526)","(0.43915182, 0.6254301, 0.84532726)","(0.4281422, 0.4275005, 0.903675)","(0.6232118, 0.71265984, 0.5550115)","(0.43906066, 0.28598258, 0.7960633)","(0.5278368, 0.6408714, 0.27564454)","(0.3091572, 0.37983835, 0.6166586)","(0.781314, 0.60043705, 0.90254486)","(0.7785902, 0.45805988, 0.8591257)","(0.9889969, 0.5995038, 0.15151352)","(0.9939203, 0.44181752, 0.221125)","(0.9005197, 0.5612267, 0.100773185)","(0.9100636, 0.45994183, 0.12608981)","(0.30171990394592285, 0.5323632508516312, 0.6812187731266022)",0.09566166251897812,"(0.3833340605099996, 0.5285211801528931, 0.8685097893079122)",0.20141972955777826
22,"(0.28655222, 0.5296986, 0.82275003)","(0.2764573, 0.55679023, 0.7656559)","(0.26786175, 0.5125104, 0.82725143)","(0.3134899, 0.57803094, 0.72265685)","(0.29718083, 0.48568672, 0.71641755)","(0.4401035, 0.6229569, 0.81543106)","(0.4270162, 0.42578766, 0.9031371)","(0.61868596, 0.7266135, 0.71361923)","(0.44184455, 0.29141867, 0.8544284)","(0.5187924, 0.63945293, 0.39749315)","(0.30950192, 0.37818202, 0.68197054)","(0.77948725, 0.59650135, 0.8917347)","(0.778418, 0.45809382, 0.85114276)","(1.003192, 0.5971172, 0.2114222)","(0.9959237, 0.44305718, 0.21655473)","(0.8971469, 0.55484104, 0.11698058)","(0.89493895, 0.45906612, 0.14127088)","(0.3053353726863861, 0.5318588316440582, 0.7195371985435486)",0.09377335011959076,"(0.38455730676651, 0.5261477132638296, 0.8471060593922933)",0.19613878543161464
23,"(0.29279685, 0.52808535, 0.6616446)","(0.28033125, 0.55595756, 0.85515964)","(0.2716393, 0.51279837, 0.7388612)","(0.314511, 0.5774001, 0.73662746)","(0.29905128, 0.4874861, 0.72047985)","(0.4335359, 0.62170994, 0.7178768)","(0.4274003, 0.4268722, 0.8938654)","(0.61045176, 0.73499197, 0.7794395)","(0.43925673, 0.2939841, 0.8705964)","(0.4596574, 0.6728942, 0.3217386)","(0.30364951, 0.3876978, 0.65064114)","(0.7747923, 0.5929438, 0.8768654)","(0.7706227, 0.45839763, 0.86203635)","(1.0001262, 0.59461945, 0.25391492)","(0.9965098, 0.4456433, 0.21641782)","(0.8958553, 0.556672, 0.1898767)","(0.8803362, 0.46096608, 0.16527012)","(0.306781142950058, 0.5324430912733078, 0.7285536527633667)",0.09123337268829346,"(0.3845776816209157, 0.5255558292071024, 0.7577955921490988)",0.1836313643792485
24,"(0.29404652, 0.52627337, 0.6663765)","(0.2811637, 0.55308294, 0.869509)","(0.2735988, 0.51084816, 0.81798434)","(0.31557202, 0.57423675, 0.7430639)","(0.30257118, 0.48332644, 0.6643977)","(0.43745905, 0.61188793, 0.77608836)","(0.42788464, 0.42861897, 0.87914884)","(0.587867, 0.74087155, 0.7498877)","(0.43941617, 0.29513186, 0.88111603)","(0.44523096, 0.6645589, 0.2126692)","(0.30165887, 0.39565083, 0.65539575)","(0.7710488, 0.5931504, 0.75832236)","(0.76936984, 0.45968646, 0.8407515)","(0.996748, 0.59468997, 0.23940456)","(0.9951565, 0.44636616, 0.19127807)","(0.88147414, 0.5545713, 0.18236816)","(0.8764817, 0.46193048, 0.16835222)","(0.3090716004371643, 0.5287815928459167, 0.7037308216094971)",0.09183521568775177,"(0.3864634037017822, 0.5222600897153219, 0.7738712231318156)",0.18500796297168953
25,"(0.29880458, 0.5251001, 0.74061185)","(0.28456736, 0.55081546, 0.86137897)","(0.2781893, 0.5087611, 0.8640821)","(0.31654364, 0.5718695, 0.76728797)","(0.3033096, 0.48361498, 0.6805599)","(0.44528326, 0.60541356, 0.805001)","(0.4314514, 0.43011364, 0.80392855)","(0.5756888, 0.749684, 0.6626164)","(0.43674594, 0.29747754, 0.8601388)","(0.371927, 0.6947291, 0.3456561)","(0.30333963, 0.40331972, 0.80061525)","(0.7665825, 0.5908751, 0.7933542)","(0.7646887, 0.460548, 0.85052025)","(0.9777539, 0.59372866, 0.2868713)","(0.9954299, 0.45038137, 0.25144076)","(0.8826288, 0.55121714, 0.20720395)","(0.9857504, 0.46637747, 0.2868999)","(0.3099266141653061, 0.5277422368526459, 0.723923921585083)",0.08924124389886856,"(0.3918464183807373, 0.5202091038227081, 0.7831804752349854)",0.186340606771941
26,"(0.30844843, 0.5223753, 0.605219)","(0.29379305, 0.5436781, 0.704893)","(0.29019192, 0.5017889, 0.77588516)","(0.32147378, 0.56291676, 0.69369954)","(0.31566817, 0.47817534, 0.6663539)","(0.44388625, 0.6043247, 0.8319719)","(0.4365132, 0.43053028, 0.84992176)","(0.536487, 0.74953604, 0.6620803)","(0.4344688, 0.30005097, 0.8745597)","(0.35570407, 0.6704942, 0.45978242)","(0.30269006, 0.40622634, 0.6379646)","(0.7630826, 0.58482075, 0.86543965)","(0.7610776, 0.4607274, 0.83521634)","(0.99649346, 0.58403105, 0.20288262)","(0.9933249, 0.44894788, 0.22803414)","(0.86308044, 0.56372523, 0.13519803)","(0.878297, 0.45949912, 0.11891633)","(0.31857097148895264, 0.5205460488796234, 0.6800267100334167)",0.08494005352258682,"(0.3962826232115428, 0.5190767546494802, 0.7623708844184875)",0.17579220827812428
