,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
10,"(0.29445258, 0.4640109, 0.4814283)","(0.27969718, 0.47291708, 0.43382442)","(0.28296283, 0.45187294, 0.62176925)","(0.29126316, 0.49445647, 0.55909866)","(0.30162165, 0.43887648, 0.5813003)","(0.34751353, 0.52496415, 0.7471226)","(0.3677534, 0.42745313, 0.73172367)","(0.42269343, 0.5556059, 0.53778815)","(0.45342612, 0.40188038, 0.21722814)","(0.45984364, 0.5472888, 0.19758177)","(0.51868874, 0.40889487, 0.22088999)","(0.52695596, 0.52778244, 0.7914822)","(0.5314448, 0.46401775, 0.7857201)","(0.6782572, 0.529474, 0.77182364)","(0.6813197, 0.4676071, 0.7524215)","(0.79715747, 0.5641954, 0.44919345)","(0.8060527, 0.47775775, 0.81364584)","(0.2964424043893814, 0.46666647493839264, 0.5701994895935059)",0.05653700977563858,"(0.33657316366831463, 0.4721427261829376, 0.6534248491128286)",0.08579674681973791
11,"(0.2940708, 0.46806452, 0.472889)","(0.2804888, 0.4753805, 0.4922426)","(0.2829653, 0.45502838, 0.6703405)","(0.2927405, 0.49692923, 0.5202634)","(0.30214834, 0.442518, 0.6476256)","(0.3487991, 0.5258658, 0.64309686)","(0.37183973, 0.4340026, 0.6925101)","(0.4253785, 0.5543806, 0.3580429)","(0.45457852, 0.41638505, 0.24411881)","(0.40622494, 0.54210335, 0.17785773)","(0.5180211, 0.41187996, 0.28575745)","(0.5229404, 0.52357477, 0.75910133)","(0.526172, 0.46308005, 0.7687197)","(0.6827809, 0.51061475, 0.6986182)","(0.682449, 0.46163008, 0.7106274)","(0.7859387, 0.55981606, 0.33946553)","(0.80799496, 0.4741062, 0.8470863)","(0.2974444180727005, 0.4697236120700836, 0.5839444994926453)",0.05521856248378754,"(0.33823655049006146, 0.47597763935724896, 0.6028319994608561)",0.0897380662792639
12,"(0.2957188, 0.4674165, 0.45929855)","(0.28137237, 0.47529876, 0.4901522)","(0.28399947, 0.4536329, 0.6304113)","(0.29478228, 0.49748498, 0.52640533)","(0.30364382, 0.44075593, 0.5840197)","(0.3500305, 0.52648264, 0.6675929)","(0.37153018, 0.43330678, 0.6900082)","(0.42439163, 0.5490118, 0.5014443)","(0.46157825, 0.4207788, 0.26877487)","(0.41235706, 0.5503118, 0.17248753)","(0.51692665, 0.42087302, 0.27088225)","(0.5223127, 0.5182952, 0.75078887)","(0.52809143, 0.45624906, 0.77347887)","(0.6864793, 0.49842358, 0.81142884)","(0.68756115, 0.4550112, 0.7309835)","(0.7913317, 0.54535186, 0.29480684)","(0.8036341, 0.47022486, 0.7884375)","(0.2992130517959595, 0.46912045776844025, 0.555212527513504)",0.05741700157523155,"(0.339093158642451, 0.47573530673980713, 0.6056332190831503)",0.08832980381504492
13,"(0.29511818, 0.46094626, 0.47580296)","(0.28277802, 0.47702277, 0.5261586)","(0.28378674, 0.45007497, 0.6635282)","(0.29737943, 0.49137563, 0.640617)","(0.3045389, 0.43835804, 0.4580342)","(0.35367367, 0.51938486, 0.6473286)","(0.3771096, 0.42748326, 0.68250227)","(0.426135, 0.5526347, 0.47127938)","(0.4662939, 0.4092424, 0.28502327)","(0.39501894, 0.54267347, 0.19440314)","(0.49030766, 0.39019024, 0.16404492)","(0.5190172, 0.5154633, 0.69016075)","(0.5218458, 0.4545537, 0.7235644)","(0.67823994, 0.5002403, 0.8527727)","(0.68083715, 0.45437878, 0.7383465)","(0.7918142, 0.56118584, 0.56425434)","(0.80648196, 0.47045892, 0.8068416)","(0.30095916986465454, 0.46486683189868927, 0.5493256002664566)",0.05349880829453468,"(0.3419671456019084, 0.469271461168925, 0.6018779476483663)",0.09516583945149007
14,"(0.2943474, 0.46928334, 0.4661216)","(0.28087577, 0.4771671, 0.4887828)","(0.28225836, 0.45649004, 0.60448754)","(0.2950104, 0.497752, 0.5604679)","(0.30085516, 0.4439379, 0.6925428)","(0.35761917, 0.52823156, 0.74140096)","(0.37205267, 0.43993935, 0.6366739)","(0.43460572, 0.5494848, 0.41930676)","(0.46790636, 0.42845684, 0.29567093)","(0.4472763, 0.5435177, 0.2038754)","(0.48640132, 0.40209195, 0.2753743)","(0.5171183, 0.5170042, 0.71079504)","(0.52040875, 0.45498824, 0.705971)","(0.6813977, 0.50519645, 0.8564609)","(0.6789317, 0.4544956, 0.76962817)","(0.7973134, 0.5566158, 0.6306855)","(0.8074741, 0.46989664, 0.8050698)","(0.29793277382850647, 0.47084495425224304, 0.6265053451061249)",0.05413058400154114,"(0.3413397471110026, 0.4791514178117116, 0.6147321661313375)",0.09603455814263227
15,"(0.29036468, 0.46877608, 0.5119664)","(0.2772075, 0.47586548, 0.42179444)","(0.27863586, 0.45705968, 0.56769276)","(0.2950421, 0.49322522, 0.45262653)","(0.29803652, 0.44455302, 0.65938467)","(0.3534385, 0.5287857, 0.734255)","(0.3654976, 0.44385457, 0.6357951)","(0.42424628, 0.5486648, 0.4156938)","(0.45138192, 0.4263497, 0.30658633)","(0.47466552, 0.54563725, 0.25293827)","(0.48991677, 0.40747947, 0.21733415)","(0.514922, 0.51667166, 0.72078496)","(0.5183722, 0.45451722, 0.6426961)","(0.6768588, 0.51831603, 0.8286593)","(0.6737396, 0.4583447, 0.7554206)","(0.7937124, 0.5473313, 0.54632914)","(0.8087299, 0.47295743, 0.8180883)","(0.296539306640625, 0.46888911724090576, 0.556005597114563)",0.048764221370220184,"(0.3364335894584656, 0.4804721176624298, 0.6273388465245565)",0.09506085500782681
16,"(0.28958556, 0.4665203, 0.5271597)","(0.27677488, 0.47731942, 0.46509573)","(0.27853298, 0.45416427, 0.5391661)","(0.28721055, 0.49403703, 0.47373253)","(0.29512662, 0.44361922, 0.6601248)","(0.34608364, 0.52251506, 0.68872255)","(0.3589006, 0.4411499, 0.69556284)","(0.4249621, 0.5405692, 0.40054134)","(0.44472513, 0.44058084, 0.25960767)","(0.48078117, 0.5472058, 0.2284748)","(0.50333107, 0.41564736, 0.36842692)","(0.50695664, 0.5165508, 0.73817277)","(0.5113156, 0.4572407, 0.74447864)","(0.67371285, 0.5231073, 0.7955599)","(0.67134804, 0.45747754, 0.70341605)","(0.7971391, 0.55965334, 0.6841095)","(0.8045083, 0.47009754, 0.74606097)","(0.29116858541965485, 0.46882812678813934, 0.5669286549091339)",0.051035474985837936,"(0.33152326941490173, 0.4767284194628398, 0.637148360411326)",0.0863244330198499
17,"(0.28622013, 0.4689752, 0.567634)","(0.27264458, 0.47613248, 0.3585433)","(0.27548793, 0.45551598, 0.520658)","(0.2871212, 0.49431515, 0.5836531)","(0.29418522, 0.4428235, 0.6536999)","(0.34676766, 0.5289111, 0.7386672)","(0.3607001, 0.44006586, 0.69698477)","(0.40839204, 0.55289173, 0.39485303)","(0.4447579, 0.432635, 0.29695296)","(0.38694596, 0.5417783, 0.18547106)","(0.50778776, 0.4127369, 0.30951846)","(0.5103331, 0.52101535, 0.79101837)","(0.5159068, 0.4578974, 0.76937586)","(0.6663985, 0.5417646, 0.6920259)","(0.66909754, 0.45860958, 0.67934716)","(0.80072254, 0.5835764, 0.62225664)","(0.806745, 0.4755842, 0.81746507)","(0.29065321385860443, 0.4685693234205246, 0.618676483631134)",0.051973938941955566,"(0.3312292993068695, 0.4793173869450887, 0.6677619814872742)",0.09236419517132032
18,"(0.27954304, 0.4630378, 0.55859876)","(0.26545143, 0.47545493, 0.5342882)","(0.26949215, 0.4519609, 0.507329)","(0.2809888, 0.48769194, 0.6669843)","(0.28798825, 0.43855044, 0.50394374)","(0.33245838, 0.5209936, 0.66393775)","(0.35360754, 0.43333495, 0.71159697)","(0.40555403, 0.5556364, 0.39608142)","(0.4403587, 0.41483778, 0.2789208)","(0.4262842, 0.5476668, 0.112678885)","(0.5126886, 0.41928443, 0.26496512)","(0.50432634, 0.52292967, 0.77277267)","(0.51099133, 0.4582661, 0.7765168)","(0.6633301, 0.5514988, 0.69948494)","(0.6679954, 0.46377918, 0.7699192)","(0.7997565, 0.58927697, 0.8392457)","(0.8000287, 0.47208557, 0.79703474)","(0.2844885289669037, 0.4631211906671524, 0.5854640305042267)",0.04963747039437294,"(0.3218696514765422, 0.4724554419517517, 0.6447111566861471)",0.08672333120681133
19,"(0.27600342, 0.46117944, 0.5070212)","(0.2632156, 0.47502065, 0.5036654)","(0.26617414, 0.44738114, 0.6777723)","(0.27866685, 0.48729205, 0.6700761)","(0.2866679, 0.4367003, 0.5376732)","(0.33300495, 0.5213343, 0.67034745)","(0.35300082, 0.4247025, 0.6896187)","(0.40890464, 0.5538425, 0.508296)","(0.43883643, 0.4152274, 0.28326714)","(0.49032462, 0.5510947, 0.2905022)","(0.49794805, 0.4027737, 0.25765994)","(0.50934255, 0.52505845, 0.7916094)","(0.5171376, 0.45803678, 0.76228577)","(0.6584736, 0.5637944, 0.7040949)","(0.6659104, 0.47048056, 0.83064055)","(0.7931453, 0.59547067, 0.7583219)","(0.8002078, 0.4707353, 0.80546546)","(0.2826673835515976, 0.4619961827993393, 0.6038746237754822)",0.05122051015496254,"(0.3206697305043538, 0.4690720736980438, 0.6223291158676147)",0.0907165476451698
