,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
10,"(0.23418495, 0.49045092, 0.34886152)","(0.21243845, 0.5033888, 0.34673485)","(0.2136882, 0.49058875, 0.3081665)","(0.22886482, 0.53763413, 0.41182595)","(0.22334129, 0.5000354, 0.26932597)","(0.3303299, 0.58063984, 0.42670053)","(0.30942985, 0.46828932, 0.3727923)","(0.4833064, 0.60183215, 0.5076675)","(0.45333013, 0.43501243, 0.37524617)","(0.6407583, 0.6500217, 0.4445984)","(0.58980155, 0.44475412, 0.5196989)","(0.55038804, 0.5526952, 0.6851007)","(0.5518117, 0.46891972, 0.6084389)","(0.7890932, 0.55316734, 0.5957639)","(0.7785826, 0.3643683, 0.6519949)","(0.95731115, 0.53757346, 0.58904374)","(0.9589585, 0.39957625, 0.74457186)","(0.2261030524969101, 0.5188347697257996, 0.3405759632587433)",0.03800228610634804,"(0.29131489992141724, 0.5131266911824545, 0.38278478384017944)",0.12293122905802151
11,"(0.2590116, 0.5123192, 0.3908382)","(0.23966512, 0.5246812, 0.39929098)","(0.2397388, 0.51189697, 0.34390932)","(0.25885552, 0.5592882, 0.42695394)","(0.24928299, 0.5194116, 0.3129959)","(0.35365695, 0.5869101, 0.51503044)","(0.3341206, 0.47420558, 0.48455077)","(0.49885973, 0.60873777, 0.53139126)","(0.47004753, 0.42767677, 0.5854091)","(0.6419485, 0.6490682, 0.5550578)","(0.5951595, 0.4428994, 0.48596054)","(0.55356383, 0.54532474, 0.6581252)","(0.5533447, 0.46488297, 0.6051222)","(0.79477304, 0.5463257, 0.5591572)","(0.7845714, 0.3687657, 0.72267663)","(0.958442, 0.5344994, 0.78275406)","(0.9614801, 0.40022278, 0.75129724)","(0.2540692538022995, 0.5393499135971069, 0.36997492611408234)",0.04100945219397545,"(0.31559638182322186, 0.5244783063729604, 0.4634731411933899)",0.1157528682949509
12,"(0.28928304, 0.50346243, 0.36517185)","(0.26677814, 0.51600814, 0.40981382)","(0.2678477, 0.5014974, 0.31196994)","(0.27133816, 0.5443336, 0.4340037)","(0.26812127, 0.50488347, 0.30403185)","(0.3637966, 0.5819754, 0.5720049)","(0.3512481, 0.4566666, 0.50169295)","(0.49274632, 0.5952983, 0.4808274)","(0.47610888, 0.4229924, 0.66321975)","(0.6420911, 0.6466038, 0.65479136)","(0.6046995, 0.43037176, 0.49404863)","(0.5721118, 0.5586276, 0.74863786)","(0.57278174, 0.4712381, 0.7043428)","(0.8011012, 0.54097223, 0.61024016)","(0.79312104, 0.36322555, 0.62023693)","(0.95980734, 0.53645134, 0.7660043)","(0.9665713, 0.39972413, 0.7460182)","(0.26972971856594086, 0.5246085226535797, 0.3690177798271179)",0.039581049233675,"(0.3347759048144023, 0.5140348076820374, 0.4796232382456462)",0.09341040829093546
13,"(0.2738249, 0.4955605, 0.28147477)","(0.24614441, 0.49917823, 0.43884227)","(0.26442146, 0.49875647, 0.24674067)","(0.24568427, 0.519449, 0.46456254)","(0.2580303, 0.52468365, 0.19813478)","(0.30008012, 0.5106339, 0.26138186)","(0.34965682, 0.5825886, 0.28429592)","(0.46277338, 0.41994172, 0.38747263)","(0.49673963, 0.59443384, 0.51657367)","(0.6057378, 0.44164085, 0.26471353)","(0.6506369, 0.65006065, 0.540783)","(0.550302, 0.48998854, 0.46671498)","(0.5619761, 0.5356733, 0.44332013)","(0.7988543, 0.3665648, 0.6179862)","(0.79301524, 0.35999185, 0.47679007)","(0.95909786, 0.52575505, 0.5573596)","(0.9712864, 0.40083537, 0.5000596)","(0.25185728073120117, 0.5220663249492645, 0.3313486576080322)",0.013409925624728203,"(0.30785394708315533, 0.5295943319797516, 0.27571751674016315)",0.09625545053165455
14,"(0.2963373, 0.4868307, 0.37956312)","(0.27351928, 0.49929124, 0.34157577)","(0.274546, 0.48500538, 0.35469538)","(0.2864455, 0.53481454, 0.2849639)","(0.2753194, 0.49757463, 0.3748147)","(0.37971795, 0.5657842, 0.5249611)","(0.36806402, 0.46258795, 0.38981113)","(0.5109049, 0.59350467, 0.41901612)","(0.4816353, 0.41444144, 0.64328873)","(0.64773226, 0.64577824, 0.54253125)","(0.6116503, 0.42814654, 0.38955864)","(0.5853912, 0.552261, 0.5858919)","(0.5808257, 0.46601662, 0.6028112)","(0.811285, 0.5389966, 0.6111944)","(0.79755497, 0.35426873, 0.7674754)","(0.9675989, 0.52932507, 0.7755673)","(0.969095, 0.3958746, 0.75251806)","(0.28088244795799255, 0.5161945819854736, 0.32988929748535156)",0.038866449147462845,"(0.34803975621859234, 0.5050676266352335, 0.4314451217651367)",0.10964904715573508
15,"(0.31594327, 0.4875873, 0.3619553)","(0.28260672, 0.5010712, 0.4061291)","(0.281236, 0.48574635, 0.345847)","(0.2878271, 0.53000605, 0.34979686)","(0.27830908, 0.4939251, 0.36078462)","(0.37813216, 0.56669694, 0.47203252)","(0.36585245, 0.47975487, 0.2913499)","(0.50220346, 0.5893277, 0.34727204)","(0.4793194, 0.4165233, 0.4117881)","(0.6498444, 0.6441544, 0.44083014)","(0.63361967, 0.4254082, 0.3243357)","(0.5693774, 0.53366506, 0.56077427)","(0.57108563, 0.46811196, 0.5125631)","(0.80808234, 0.54128283, 0.46900105)","(0.80170435, 0.3496688, 0.7012573)","(0.9746915, 0.52681446, 0.6690624)","(0.98037523, 0.3909131, 0.6854684)","(0.28306809067726135, 0.5119655728340149, 0.3552907407283783)",0.037315256893634796,"(0.3533092935880025, 0.5113463699817657, 0.3751125733057658)",0.08855987618309778
16,"(0.29595363, 0.49160063, 0.36578286)","(0.27233618, 0.49919003, 0.32655445)","(0.27465242, 0.5005797, 0.3069539)","(0.27183244, 0.51757884, 0.39280075)","(0.2751897, 0.5199419, 0.40160435)","(0.3564026, 0.4965566, 0.32230324)","(0.38177666, 0.57441235, 0.49710113)","(0.50745773, 0.58437985, 0.26692307)","(0.5110393, 0.5939547, 0.5513208)","(0.65122575, 0.6359949, 0.34079906)","(0.65479994, 0.63891417, 0.5628459)","(0.57314515, 0.50396526, 0.56596106)","(0.5750607, 0.5231501, 0.51221716)","(0.8137571, 0.53474414, 0.48257837)","(0.8090955, 0.3509705, 0.50215244)","(0.97901124, 0.51158077, 0.55865943)","(0.9805095, 0.39385375, 0.5374108)","(0.273511067032814, 0.5187603831291199, 0.3972025513648987)",0.004105530213564634,"(0.34471096595128375, 0.5208565294742584, 0.3950624068578084)",0.11372220839233674
17,"(0.24475603, 0.4570876, 0.32631183)","(0.22182953, 0.4639312, 0.33069605)","(0.22386275, 0.4625512, 0.3149498)","(0.2156668, 0.50065327, 0.45010346)","(0.21873623, 0.49723822, 0.4245428)","(0.277488, 0.50552917, 0.53095156)","(0.33142737, 0.5681331, 0.41157734)","(0.43824813, 0.4196721, 0.345402)","(0.5017028, 0.58801514, 0.54295844)","(0.6105091, 0.42374787, 0.3309343)","(0.6504222, 0.63079536, 0.46719468)","(0.5837691, 0.48837852, 0.5511252)","(0.5880524, 0.54756695, 0.49582455)","(0.821484, 0.35221276, 0.6399476)","(0.81041694, 0.53277934, 0.348787)","(0.99331725, 0.4165288, 0.39511913)","(0.99472064, 0.39559552, 0.6217739)","(0.21720151603221893, 0.4989457428455353, 0.4373231381177902)",0.004591727163642645,"(0.28455712894598645, 0.5102499624093374, 0.4229469100634257)",0.13282113914074412
18,"(0.29950976, 0.44299412, 0.36057684)","(0.27173105, 0.45985135, 0.33544677)","(0.2766828, 0.45173794, 0.35648173)","(0.27481002, 0.50332916, 0.4284511)","(0.28754175, 0.48454842, 0.25718927)","(0.38614807, 0.5555294, 0.37744033)","(0.3711996, 0.4558761, 0.39367175)","(0.5167059, 0.5874499, 0.58439934)","(0.49093878, 0.4185893, 0.52516454)","(0.6610048, 0.6321384, 0.5633028)","(0.61991274, 0.4230636, 0.56788754)","(0.6004187, 0.54139256, 0.6279094)","(0.602112, 0.4633803, 0.63508004)","(0.8205658, 0.5326648, 0.63683975)","(0.8247024, 0.34308642, 0.6610646)","(0.9852104, 0.5249907, 0.73662704)","(0.99234855, 0.38702032, 0.6347914)","(0.2811758816242218, 0.49393878877162933, 0.3428201824426651)",0.022689493373036385,"(0.35228581229845685, 0.4847998817761739, 0.3772296408812205)",0.13465560828599715
19,"(0.27356285, 0.44509977, 0.3560037)","(0.25021908, 0.45964548, 0.27991802)","(0.25406528, 0.4502808, 0.2953459)","(0.26202014, 0.5019081, 0.29513896)","(0.26323742, 0.4803663, 0.274883)","(0.3569005, 0.5392959, 0.35615036)","(0.345977, 0.46397424, 0.30084366)","(0.5078475, 0.5794173, 0.44578287)","(0.48635945, 0.41419154, 0.5105469)","(0.6616988, 0.62865406, 0.52463615)","(0.6228613, 0.42216688, 0.54698455)","(0.567829, 0.530962, 0.5658671)","(0.5719868, 0.46174908, 0.53725386)","(0.82439846, 0.53351444, 0.7456583)","(0.82489324, 0.34263253, 0.80360806)","(0.9836909, 0.5250284, 0.71609557)","(0.9934325, 0.37854, 0.49797887)","(0.26262877881526947, 0.49113720655441284, 0.2850109785795212)",0.021576199680566788,"(0.3254801233609517, 0.4827899734179179, 0.3376659055550893)",0.12831141458991002
20,"(0.27770323, 0.46874437, 0.40285268)","(0.26343966, 0.48415408, 0.33347875)","(0.26670408, 0.47498092, 0.3226121)","(0.280302, 0.52131164, 0.3778804)","(0.27411392, 0.5007162, 0.40325361)","(0.38658282, 0.56195045, 0.46222472)","(0.36026534, 0.44574696, 0.51833516)","(0.52500194, 0.58670104, 0.6213988)","(0.49859402, 0.40757132, 0.67251325)","(0.6683372, 0.6310191, 0.5379723)","(0.6372433, 0.4112721, 0.37392354)","(0.6131802, 0.542899, 0.6451782)","(0.61266226, 0.4547716, 0.618612)","(0.8351512, 0.52935314, 0.7395342)","(0.8324591, 0.33456764, 0.81827605)","(0.983088, 0.5220654, 0.592347)","(0.98864883, 0.37814826, 0.42709327)","(0.27720795571804047, 0.511013925075531, 0.39056700468063354)",0.021504973992705345,"(0.3415171305338542, 0.49214725693066913, 0.46113752325375873)",0.13593983524339914
21,"(0.31392616, 0.4641835, 0.2932272)","(0.30055064, 0.4827245, 0.30405426)","(0.2908408, 0.46914333, 0.27401888)","(0.30584896, 0.5188018, 0.27500653)","(0.28089094, 0.49085373, 0.41966662)","(0.4042686, 0.5626128, 0.48030618)","(0.3716563, 0.43614918, 0.3639189)","(0.52962023, 0.5805961, 0.38983673)","(0.5030534, 0.39359245, 0.49034262)","(0.65891075, 0.6171135, 0.3671995)","(0.6419465, 0.4098361, 0.34892255)","(0.59027314, 0.53609616, 0.5299905)","(0.5812253, 0.4486787, 0.48524147)","(0.83224076, 0.5327126, 0.6727911)","(0.8388607, 0.32993072, 0.690205)","(0.9837748, 0.5184332, 0.5273964)","(0.98588914, 0.37444586, 0.42812368)","(0.29336994886398315, 0.5048277676105499, 0.3473365753889084)",0.037469957023859024,"(0.3632836838563283, 0.48764848709106445, 0.37915075818697613)",0.10930270460518444
22,"(0.279165, 0.47143015, 0.41575888)","(0.257904, 0.4784113, 0.32771516)","(0.26067442, 0.48081264, 0.33680326)","(0.25640976, 0.5066397, 0.3912924)","(0.2599156, 0.5121995, 0.38921642)","(0.34893757, 0.5221998, 0.29873496)","(0.35478494, 0.5472709, 0.32750905)","(0.50221765, 0.5666844, 0.24774188)","(0.5040067, 0.576715, 0.295408)","(0.6264195, 0.41748863, 0.28207654)","(0.6245805, 0.41862673, 0.45914006)","(0.5775185, 0.5167258, 0.45135912)","(0.5726042, 0.50988257, 0.45158207)","(0.83723414, 0.52863026, 0.6312057)","(0.8431039, 0.32566875, 0.65441406)","(0.9822072, 0.52153444, 0.6528474)","(0.98030376, 0.3707323, 0.16215992)","(0.2581626772880554, 0.5094196200370789, 0.390254408121109)",0.006572839338332415,"(0.32762916882832843, 0.5136336187521616, 0.3473342955112457)",0.12852872422414777
23,"(0.29011223, 0.4622513, 0.34699106)","(0.2683542, 0.47553283, 0.35756654)","(0.2705599, 0.46836293, 0.33474812)","(0.27697617, 0.5069965, 0.43080038)","(0.27456164, 0.49163994, 0.43167526)","(0.39535984, 0.5557489, 0.39008468)","(0.3619067, 0.45371744, 0.2657817)","(0.51776195, 0.5781417, 0.5422603)","(0.5034218, 0.38924295, 0.5059979)","(0.6591763, 0.60992193, 0.46204457)","(0.622055, 0.40262842, 0.3746336)","(0.6043606, 0.5308904, 0.54244167)","(0.5993949, 0.4659228, 0.5458803)","(0.8447974, 0.53418154, 0.71713406)","(0.8515758, 0.3189486, 0.72219396)","(0.9810554, 0.52151966, 0.57334584)","(0.9530276, 0.3568833, 0.079360545)","(0.275768905878067, 0.4993182271718979, 0.4312378168106079)",0.015545230358839035,"(0.34912625948588055, 0.4905725419521332, 0.33428581555684406)",0.13091597971378097
24,"(0.29452097, 0.4678155, 0.39815357)","(0.27128565, 0.48290288, 0.4218818)","(0.28271985, 0.4688061, 0.26421046)","(0.29136163, 0.5195094, 0.32747716)","(0.28808528, 0.48116052, 0.29843056)","(0.40153465, 0.56804335, 0.593576)","(0.37236232, 0.40726972, 0.53001857)","(0.51881826, 0.5876549, 0.5693642)","(0.51311266, 0.37925074, 0.6928421)","(0.65925854, 0.60896933, 0.6144585)","(0.63726336, 0.40537947, 0.7280565)","(0.6107023, 0.54185045, 0.6545025)","(0.60619265, 0.44848508, 0.59897083)","(0.8546517, 0.53590196, 0.78045046)","(0.86048335, 0.32631788, 0.7070366)","(0.9792559, 0.52022815, 0.49417573)","(0.9754519, 0.36012352, 0.13068178)","(0.2897234559059143, 0.5003349483013153, 0.3129538595676422)",0.03848855569958687,"(0.3561393121878306, 0.4810428520043691, 0.5072493851184845)",0.1260441624931231
