,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.3286211, 0.44921434, 0.68136144)","(0.3135978, 0.4705239, 0.5564134)","(0.3103277, 0.43157515, 0.7051152)","(0.3369701, 0.49196538, 0.74427515)","(0.33172268, 0.40663254, 0.7159941)","(0.4497888, 0.5375544, 0.86562824)","(0.41791326, 0.34510562, 0.8820727)","(0.57938766, 0.54269296, 0.59844875)","(0.54928917, 0.28096977, 0.8004096)","(0.656284, 0.5289409, 0.4068263)","(0.64485925, 0.35752112, 0.6476889)","(0.71178806, 0.48999712, 0.7241356)","(0.70930284, 0.37197888, 0.75341177)","(0.9705646, 0.60236025, 0.71785873)","(0.9756452, 0.32262608, 0.48785165)","(0.9868803, 0.5486281, 0.18040687)","(0.9918183, 0.33826157, 0.18572834)","(0.33434638381004333, 0.4492989629507065, 0.7301346361637115)",0.0854940265417099,"(0.3987743854522705, 0.4439581135908763, 0.8096874554951986)",0.14069986278657312
1,"(0.3139785, 0.4481958, 0.6221681)","(0.29809654, 0.46875715, 0.7108676)","(0.2986343, 0.42961794, 0.81492484)","(0.32397914, 0.49269795, 0.74777734)","(0.32471436, 0.406094, 0.8465487)","(0.4333983, 0.54410034, 0.7805275)","(0.40504012, 0.34777948, 0.8595059)","(0.5596315, 0.55379355, 0.5477739)","(0.5315853, 0.2840399, 0.67972046)","(0.6342819, 0.5343777, 0.5131587)","(0.6366713, 0.3493963, 0.7159351)","(0.69374937, 0.49124396, 0.7202415)","(0.6875426, 0.37229836, 0.75925714)","(0.9752208, 0.60772747, 0.7348638)","(0.9693596, 0.33987293, 0.5382881)","(0.9911558, 0.5721878, 0.19068068)","(0.9952904, 0.34133536, 0.1759578)","(0.32434675097465515, 0.4493959844112396, 0.7971630096435547)",0.08660706132650375,"(0.38413897156715393, 0.4466918706893921, 0.7540671626726786)",0.140353189944511
2,"(0.3065076, 0.44679758, 0.7392586)","(0.2901355, 0.46670064, 0.5867944)","(0.29198164, 0.42730936, 0.60094357)","(0.31106192, 0.49246272, 0.7179601)","(0.31271774, 0.40495282, 0.70367074)","(0.41965765, 0.5469048, 0.82881486)","(0.38605842, 0.34747562, 0.8207567)","(0.5267856, 0.5756918, 0.6126408)","(0.5045868, 0.27907008, 0.73777735)","(0.62854075, 0.5269601, 0.5918093)","(0.61253476, 0.33630276, 0.79810286)","(0.6600891, 0.48966837, 0.72394127)","(0.656517, 0.37391818, 0.8237305)","(0.9407136, 0.60656303, 0.5925662)","(0.94176215, 0.353459, 0.60577905)","(0.9719689, 0.60560787, 0.3233714)","(0.9853167, 0.3606219, 0.25745815)","(0.3118898272514343, 0.44870777428150177, 0.7108154296875)",0.08752556890249252,"(0.37074121832847595, 0.4470593333244324, 0.7962767084439596)",0.128468328440664
3,"(0.29932463, 0.44640976, 0.7754593)","(0.282564, 0.46766347, 0.7971335)","(0.28101692, 0.42762756, 0.86648285)","(0.3027455, 0.49005497, 0.8679787)","(0.30020934, 0.40332305, 0.817958)","(0.39977333, 0.5411583, 0.8067616)","(0.3859745, 0.343655, 0.9186304)","(0.51023984, 0.58554983, 0.75005317)","(0.49310744, 0.2811383, 0.6899749)","(0.62018216, 0.5336239, 0.47994378)","(0.5908387, 0.3334077, 0.8072382)","(0.6575364, 0.49075803, 0.7827978)","(0.653872, 0.37469012, 0.85556966)","(0.9317693, 0.601474, 0.56997675)","(0.9328024, 0.3588482, 0.5944528)","(0.97069496, 0.61170316, 0.42156327)","(0.9857816, 0.3642238, 0.29050103)","(0.30147741734981537, 0.44668900966644287, 0.8429683446884155)",0.0867689847946167,"(0.36169081926345825, 0.4437410235404968, 0.833617111047109)",0.12484652204666997
4,"(0.29052347, 0.44470876, 0.6255478)","(0.27623636, 0.46660805, 0.75488645)","(0.27390796, 0.428305, 0.78602713)","(0.2972842, 0.4893218, 0.8357565)","(0.2929714, 0.40588623, 0.75566465)","(0.3868038, 0.5360714, 0.8980766)","(0.3805222, 0.34842438, 0.7840836)","(0.50395465, 0.60478246, 0.8295417)","(0.48735926, 0.28990746, 0.7836644)","(0.6147881, 0.52929604, 0.7084433)","(0.5945394, 0.34356332, 0.78995055)","(0.6451509, 0.4915036, 0.7710594)","(0.6431901, 0.3799493, 0.8769002)","(0.93569416, 0.59851444, 0.67708564)","(0.9415773, 0.36850983, 0.59058607)","(0.97387516, 0.61201537, 0.30016664)","(0.99024075, 0.3658278, 0.23034379)","(0.2951277941465378, 0.4476040154695511, 0.795710563659668)",0.0835469514131546,"(0.35261648893356323, 0.4430681864420573, 0.7692360083262125)",0.12422937761031796
5,"(0.30292645, 0.4463284, 0.78852904)","(0.28508973, 0.46942878, 0.72943836)","(0.2810776, 0.4299903, 0.79538524)","(0.30660486, 0.49429044, 0.80010617)","(0.29815963, 0.4083632, 0.81992674)","(0.3814577, 0.54299986, 0.7034397)","(0.38670194, 0.3533737, 0.8476722)","(0.51118565, 0.6196134, 0.74707174)","(0.49278635, 0.29757798, 0.6723039)","(0.62409997, 0.53182185, 0.65540916)","(0.5997482, 0.35355517, 0.71557415)","(0.6551516, 0.4936391, 0.8285073)","(0.64824253, 0.38253567, 0.819304)","(0.9433602, 0.58681625, 0.61500263)","(0.94543314, 0.37114257, 0.5806292)","(0.97285247, 0.6053757, 0.23341072)","(0.98953384, 0.36662397, 0.21457067)","(0.3023822456598282, 0.45132681727409363, 0.8100164532661438)",0.0863412618637085,"(0.35702869296073914, 0.4475673238436381, 0.7798803249994913)",0.10823285115111601
6,"(0.30603743, 0.45160198, 0.67605484)","(0.29128665, 0.47559094, 0.4023738)","(0.2842542, 0.4355813, 0.6866196)","(0.31164593, 0.4976194, 0.52484334)","(0.30169553, 0.41378367, 0.7825226)","(0.38957703, 0.5488198, 0.8215138)","(0.4064674, 0.361832, 0.8949348)","(0.51366735, 0.6291638, 0.78667426)","(0.512973, 0.30406937, 0.7333764)","(0.6380715, 0.5337831, 0.53034043)","(0.6046686, 0.3690012, 0.6392492)","(0.6669299, 0.50275946, 0.8066194)","(0.66081345, 0.38536888, 0.722502)","(0.94979, 0.58514136, 0.5895565)","(0.9465627, 0.3660464, 0.596632)","(0.97874343, 0.60133404, 0.18724081)","(0.9901222, 0.36473283, 0.17165959)","(0.3066707253456116, 0.4557015299797058, 0.6536829769611359)",0.08442415297031403,"(0.3673606216907501, 0.4540845851103465, 0.7975011269251505)",0.12274685573127977
7,"(0.3152955, 0.4545532, 0.48611772)","(0.30166692, 0.47833157, 0.5545888)","(0.29498115, 0.44001627, 0.75173366)","(0.32633007, 0.5016834, 0.69827294)","(0.31479338, 0.42230532, 0.69861764)","(0.40495938, 0.55339205, 0.901502)","(0.4199502, 0.37572354, 0.8160212)","(0.5251066, 0.6432636, 0.86280596)","(0.5256018, 0.31364998, 0.84578025)","(0.64688146, 0.5529033, 0.47942394)","(0.61419785, 0.3840937, 0.41032007)","(0.67749536, 0.49941796, 0.8523421)","(0.67273355, 0.38785693, 0.7329918)","(0.9661867, 0.57721025, 0.62717605)","(0.9444875, 0.35070163, 0.5787021)","(0.98968506, 0.584852, 0.14174873)","(0.99418974, 0.36005732, 0.14387381)","(0.3205617219209671, 0.46199436485767365, 0.6984452903270721)",0.0802120789885521,"(0.3800683518250783, 0.46122292677561444, 0.734546979268392)",0.13023070858346325
8,"(0.32661006, 0.4620058, 0.7373554)","(0.31119916, 0.48334536, 0.5095583)","(0.30623204, 0.44573662, 0.87402207)","(0.33376497, 0.5105766, 0.7190747)","(0.3263136, 0.42969114, 0.80580366)","(0.41397938, 0.56088305, 0.78506887)","(0.42367738, 0.39927578, 0.7620426)","(0.5381197, 0.66242254, 0.86383885)","(0.5336318, 0.33050323, 0.71084774)","(0.676345, 0.5622469, 0.6008629)","(0.62540764, 0.40934652, 0.48594677)","(0.68059194, 0.50511014, 0.6602007)","(0.6749798, 0.3990321, 0.8306984)","(0.9736635, 0.5681091, 0.8256451)","(0.9608351, 0.35110223, 0.7300555)","(0.99286425, 0.57080066, 0.15286958)","(0.9978616, 0.3549945, 0.14771137)","(0.33003929257392883, 0.47013387084007263, 0.7624391913414001)",0.08122795820236206,"(0.3880889415740967, 0.47405487298965454, 0.7614889542261759)",0.12529698099649508
9,"(0.34575877, 0.47308576, 0.5913535)","(0.32662815, 0.4948654, 0.65146303)","(0.32451227, 0.45573795, 0.67839885)","(0.34569916, 0.51913893, 0.6026473)","(0.34668422, 0.43227932, 0.7425906)","(0.42969763, 0.5779492, 0.88398325)","(0.44825292, 0.3987255, 0.82176995)","(0.54717976, 0.6797983, 0.85584676)","(0.55155003, 0.3461302, 0.61748123)","(0.6827843, 0.5872359, 0.62941396)","(0.6469444, 0.42276102, 0.49379405)","(0.69580364, 0.5310538, 0.72336644)","(0.6920809, 0.4182566, 0.7919259)","(0.97670496, 0.5774203, 0.7939323)","(0.96027994, 0.36144668, 0.65635437)","(0.99832666, 0.5723514, 0.10771108)","(0.9954564, 0.35959074, 0.13875636)","(0.3461916893720627, 0.47570912539958954, 0.672618955373764)",0.08686520159244537,"(0.40790310502052307, 0.48325349887212116, 0.7657022277514139)",0.1259412842918866
