,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.30464655, 0.48252255, 0.050860345)","(0.29333958, 0.49520427, 0.048243254)","(0.29939115, 0.5000704, 0.06730285)","(0.29887474, 0.5002059, 0.056271285)","(0.30167127, 0.5148889, 0.07515913)","(0.33663982, 0.50446117, 0.28070074)","(0.33612394, 0.52110803, 0.29408038)","(0.4797026, 0.53401303, 0.16797876)","(0.47325885, 0.5559524, 0.13731393)","(0.5989723, 0.5106842, 0.1212742)","(0.6402031, 0.50740623, 0.2371786)","(0.5693984, 0.5285242, 0.34891465)","(0.56927204, 0.5374345, 0.2597362)","(0.67641497, 0.49990556, 0.33565897)","(0.67689246, 0.5023385, 0.242522)","(0.8137297, 0.5589359, 0.056110293)","(0.78043926, 0.52315605, 0.05259034)","(0.30027300119400024, 0.5075473785400391, 0.06571520864963531)",0.014946949668228626,"(0.3258034388224284, 0.5026972492535909, 0.20854715506235758)",0.058468195720219586
1,"(0.3046968, 0.48255765, 0.050747067)","(0.29340205, 0.49524435, 0.048188537)","(0.29945752, 0.5001016, 0.06726426)","(0.29896504, 0.5002416, 0.056249857)","(0.30176598, 0.5148934, 0.075096756)","(0.3367195, 0.504474, 0.28003466)","(0.3362316, 0.5211066, 0.29452607)","(0.4797765, 0.5339437, 0.16785166)","(0.47336793, 0.55589, 0.13722458)","(0.5988748, 0.51066995, 0.121053636)","(0.64030355, 0.5074028, 0.2368305)","(0.5694793, 0.52852875, 0.3486014)","(0.5693592, 0.5374441, 0.2598595)","(0.6765132, 0.49990994, 0.33537748)","(0.6769966, 0.5023393, 0.24244815)","(0.8137517, 0.55895174, 0.056350946)","(0.7804812, 0.5231998, 0.05286503)","(0.30036550760269165, 0.5075674951076508, 0.06567330658435822)",0.014917155727744102,"(0.32588263352711994, 0.5027127464612325, 0.2084359327952067)",0.058483069344888235
2,"(0.30449674, 0.4825203, 0.050412774)","(0.29318494, 0.495246, 0.04785052)","(0.29925805, 0.5000695, 0.06678298)","(0.29876828, 0.5002304, 0.055885106)","(0.30159312, 0.51486063, 0.074826986)","(0.33648807, 0.5044277, 0.27978918)","(0.33604467, 0.52111053, 0.2924705)","(0.47963488, 0.5338913, 0.16757369)","(0.47316965, 0.55574685, 0.13661307)","(0.5989108, 0.51071155, 0.12113893)","(0.64025635, 0.50736344, 0.2370413)","(0.5692977, 0.528529, 0.3479697)","(0.5691788, 0.5374173, 0.2593765)","(0.6764145, 0.49993274, 0.33567345)","(0.67689884, 0.502344, 0.24245349)","(0.8137448, 0.55895174, 0.05634862)","(0.7804734, 0.5231812, 0.05270925)","(0.30018070340156555, 0.5075455009937286, 0.06535604596138)",0.01490047574043274,"(0.32567649086316425, 0.5026861727237701, 0.20755748947461447)",0.058489109418130326
3,"(0.30458474, 0.48253196, 0.050440937)","(0.29328012, 0.49524212, 0.047911346)","(0.29934618, 0.50010014, 0.0669069)","(0.29888013, 0.5002296, 0.05594963)","(0.3016855, 0.5148995, 0.074759185)","(0.3366091, 0.50443614, 0.27959353)","(0.3361619, 0.5211178, 0.29345953)","(0.47966242, 0.5339443, 0.16761279)","(0.47327042, 0.55586547, 0.13686612)","(0.59883934, 0.5106602, 0.1210559)","(0.6403017, 0.5073819, 0.23681545)","(0.5693721, 0.52851677, 0.34807688)","(0.5692673, 0.5374369, 0.25956056)","(0.6764499, 0.49991164, 0.33547854)","(0.6769444, 0.5023389, 0.2423881)","(0.8137399, 0.5589647, 0.056280196)","(0.7804681, 0.5232005, 0.052669495)","(0.300282821059227, 0.5075645446777344, 0.06535440683364868)",0.014935729093849659,"(0.32578524947166443, 0.5026953021685282, 0.20783133308092752)",0.05851569734785426
4,"(0.3046589, 0.48250374, 0.050754666)","(0.29882342, 0.47913104, 0.03818047)","(0.2994089, 0.50005424, 0.06722844)","(0.29892236, 0.50020194, 0.056274325)","(0.30168843, 0.5148842, 0.075086266)","(0.3366849, 0.5045572, 0.28040263)","(0.33617553, 0.52112794, 0.2942061)","(0.4796446, 0.5340124, 0.16791764)","(0.4732024, 0.55583686, 0.13660643)","(0.59892976, 0.51064694, 0.1215823)","(0.64014816, 0.5073336, 0.23726746)","(0.56927156, 0.528529, 0.3489486)","(0.56914496, 0.537321, 0.25839335)","(0.6763345, 0.4998928, 0.33594507)","(0.6768215, 0.50228, 0.24197143)","(0.81371707, 0.5589719, 0.055833638)","(0.7804121, 0.5231329, 0.052274585)","(0.30030539631843567, 0.5075430572032928, 0.06568029522895813)",0.014940519817173481,"(0.32583977778752643, 0.5027296245098114, 0.20845446983973184)",0.05857358931516607
5,"(0.29598057, 0.48514828, 0.029917747)","(0.2859323, 0.4978318, 0.031974852)","(0.29177898, 0.5058065, 0.044879436)","(0.29521286, 0.50012755, 0.035953492)","(0.29657137, 0.5340923, 0.062298328)","(0.33305377, 0.50018215, 0.22469112)","(0.32993025, 0.5290922, 0.31327486)","(0.47355473, 0.5255059, 0.1251021)","(0.46244523, 0.56094015, 0.13350594)","(0.6341724, 0.5056853, 0.19421798)","(0.5671667, 0.5362069, 0.07205117)","(0.54986084, 0.52406955, 0.33244023)","(0.54945064, 0.541499, 0.2738821)","(0.67852205, 0.49770302, 0.3373069)","(0.68559456, 0.5006583, 0.16638929)","(0.81552815, 0.5777223, 0.05813384)","(0.8058398, 0.5456666, 0.05582717)","(0.2958921194076538, 0.5171099305152893, 0.04912590980529785)",0.03399191051721573,"(0.3196548620859782, 0.5048075417677561, 0.18929457664489746)",0.06154538219512959
6,"(0.32614312, 0.48890433, 0.109451085)","(0.31413957, 0.49799985, 0.10889429)","(0.31556004, 0.520634, 0.14939016)","(0.32157844, 0.49655026, 0.121739924)","(0.32415545, 0.53074896, 0.26419473)","(0.35989934, 0.48464817, 0.24775043)","(0.36660036, 0.5437626, 0.33202225)","(0.5005442, 0.5148628, 0.15952191)","(0.48926935, 0.55391395, 0.18983734)","(0.62631685, 0.503837, 0.12170079)","(0.6523031, 0.50932115, 0.22887805)","(0.57257247, 0.5148192, 0.26251453)","(0.57413334, 0.54174566, 0.27021012)","(0.6701066, 0.49423498, 0.33649325)","(0.6771869, 0.5017137, 0.24388078)","(0.7116198, 0.4940457, 0.24732473)","(0.805164, 0.5417559, 0.05297771)","(0.32286694645881653, 0.5136496126651764, 0.19296732544898987)",0.03429565578699112,"(0.3508809407552083, 0.5057717065016428, 0.22974125544230142)",0.059882166680910474
7,"(0.31394875, 0.5009128, 0.11658493)","(0.3083586, 0.49662018, 0.088550985)","(0.31126902, 0.5042147, 0.09750891)","(0.3150852, 0.49594042, 0.101516545)","(0.31937855, 0.5128219, 0.15155199)","(0.35340652, 0.49635202, 0.25190473)","(0.35368174, 0.52003396, 0.27141753)","(0.49671575, 0.52336705, 0.1879996)","(0.48422658, 0.556239, 0.17373341)","(0.628135, 0.5043826, 0.15977266)","(0.64051664, 0.5099058, 0.2689739)","(0.57433105, 0.5235739, 0.3411446)","(0.57642716, 0.53808177, 0.27265838)","(0.6802238, 0.49567485, 0.31560194)","(0.68476, 0.5045382, 0.23788694)","(0.83734095, 0.5801398, 0.08705288)","(0.8064693, 0.54732513, 0.08387461)","(0.3172318786382675, 0.5043811649084091, 0.12653426826000214)",0.017418891191482544,"(0.3403456707795461, 0.5057662526766459, 0.21330239375432333)",0.05367880564257361
8,"(0.31473035, 0.49222606, 0.15705854)","(0.30816358, 0.4905263, 0.122614235)","(0.310017, 0.49814937, 0.1554038)","(0.31281942, 0.498409, 0.16847199)","(0.31478015, 0.5149734, 0.18764508)","(0.3529573, 0.505172, 0.37936604)","(0.34842545, 0.51782525, 0.30212736)","(0.50815517, 0.540904, 0.28646016)","(0.48559445, 0.56338525, 0.18332851)","(0.63598895, 0.50650835, 0.28007013)","(0.6281604, 0.509949, 0.25876006)","(0.5963291, 0.5274316, 0.39582634)","(0.581502, 0.5383434, 0.2992447)","(0.6766696, 0.4954574, 0.28408468)","(0.6800636, 0.5018058, 0.20190501)","(0.70161504, 0.49662933, 0.18816087)","(0.7003855, 0.4978877, 0.14984697)","(0.31379978358745575, 0.5066912025213242, 0.17805853486061096)",0.0166800394654274,"(0.33870436747868854, 0.5050744414329529, 0.2795173128445943)",0.05439979755557039
9,"(0.33384544, 0.48716617, 0.25724918)","(0.32396013, 0.48621553, 0.21309313)","(0.32528174, 0.4925437, 0.14699468)","(0.32512322, 0.50061893, 0.22774944)","(0.32661408, 0.5121569, 0.2821731)","(0.35769174, 0.5073732, 0.3813271)","(0.35611284, 0.51674074, 0.34070393)","(0.5087333, 0.5285179, 0.28088814)","(0.4876886, 0.5589691, 0.18954527)","(0.6324785, 0.5034984, 0.2848597)","(0.6259841, 0.50814074, 0.26837236)","(0.59874606, 0.5235659, 0.38361466)","(0.59823513, 0.5358987, 0.31363964)","(0.6738133, 0.49310374, 0.2630149)","(0.6794829, 0.5020205, 0.20863214)","(0.70196235, 0.4947722, 0.20498168)","(0.77984834, 0.5468746, 0.059529036)","(0.3258686512708664, 0.5063879191875458, 0.2549612671136856)",0.011633890680968761,"(0.34921666979789734, 0.503760039806366, 0.3264267345269521)",0.045238543239793115
