,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.23003119, 0.5322727, 0.493753)","(0.21908653, 0.54717183, 0.70028836)","(0.21176855, 0.52065605, 0.6333302)","(0.23309988, 0.555371, 0.6480572)","(0.22022055, 0.49636695, 0.5146771)","(0.3185482, 0.57292384, 0.8244554)","(0.2955659, 0.45943636, 0.7806337)","(0.40899032, 0.59934723, 0.45652372)","(0.4115528, 0.46042264, 0.5649715)","(0.5021797, 0.5987105, 0.43454105)","(0.50158405, 0.47913766, 0.44609725)","(0.5013945, 0.5676305, 0.8182001)","(0.4996229, 0.49981618, 0.7986319)","(0.68568176, 0.5296862, 0.8532804)","(0.6984221, 0.49014366, 0.88951445)","(0.83762765, 0.5164819, 0.57119334)","(0.8945432, 0.46818465, 0.6828846)","(0.22666021436452866, 0.5258689671754837, 0.581367164850235)",0.060393325984478,"(0.2813817660013835, 0.5215442975362142, 0.699614018201828)",0.10491863444409878
1,"(0.2302098, 0.5332015, 0.49190283)","(0.21973398, 0.54730606, 0.73176223)","(0.21191457, 0.5211019, 0.6434704)","(0.23404294, 0.5551501, 0.67578346)","(0.22037719, 0.4961512, 0.51828045)","(0.31828034, 0.5729298, 0.80304176)","(0.29595363, 0.45893157, 0.7812941)","(0.40759695, 0.6001959, 0.42969322)","(0.41075122, 0.4598028, 0.52812576)","(0.5035711, 0.60003155, 0.39215934)","(0.50571316, 0.47968706, 0.46784392)","(0.50192916, 0.56999046, 0.8209654)","(0.50016093, 0.5015479, 0.82129616)","(0.6865387, 0.5308348, 0.8327588)","(0.7000084, 0.49064928, 0.8889092)","(0.83740234, 0.51686984, 0.57629174)","(0.8958688, 0.46806818, 0.6622757)","(0.22721006721258163, 0.5256506502628326, 0.5970319509506226)",0.060560885816812515,"(0.28148125608762103, 0.5216876268386841, 0.6920795639355978)",0.10509675712301145
2,"(0.22943066, 0.53344476, 0.48168966)","(0.21876721, 0.5477326, 0.72606057)","(0.2116342, 0.52082354, 0.6274566)","(0.2329421, 0.55609167, 0.64820075)","(0.22060452, 0.49585506, 0.52003175)","(0.3174181, 0.5753167, 0.8021728)","(0.2968716, 0.45831543, 0.7780163)","(0.41083524, 0.59811455, 0.4255805)","(0.41202566, 0.45852003, 0.5008174)","(0.50219184, 0.6033087, 0.4164483)","(0.5018836, 0.47475487, 0.48013923)","(0.5004312, 0.57036245, 0.81857425)","(0.4984946, 0.5009788, 0.7989087)","(0.68639225, 0.5318732, 0.8460912)","(0.698665, 0.49291444, 0.8880793)","(0.83775944, 0.5166648, 0.5780419)","(0.8961694, 0.46825975, 0.6638343)","(0.22677331417798996, 0.5259733647108078, 0.5841162502765656)",0.0614871047437191,"(0.2812401205301285, 0.5223589738210043, 0.6872929235299429)",0.10596442501775986
3,"(0.22915155, 0.5347768, 0.4630922)","(0.21819876, 0.5479872, 0.7187117)","(0.21176903, 0.5212475, 0.62016726)","(0.2309194, 0.5550803, 0.5929124)","(0.22061202, 0.49491316, 0.4995754)","(0.31689897, 0.575727, 0.78744876)","(0.29793823, 0.45673358, 0.757633)","(0.41180357, 0.5946334, 0.41309613)","(0.41332036, 0.4584361, 0.5180005)","(0.50144863, 0.6016007, 0.45311975)","(0.50298303, 0.4738104, 0.4908375)","(0.5005664, 0.5687376, 0.81798935)","(0.49916005, 0.49987686, 0.7910652)","(0.68547964, 0.5317464, 0.8523841)","(0.69898844, 0.4941033, 0.8812561)","(0.8372602, 0.5171896, 0.58423084)","(0.8966888, 0.46843928, 0.6590165)","(0.22576571255922318, 0.5249967277050018, 0.546243891119957)",0.061043642461299896,"(0.2813295821348826, 0.5224124590555826, 0.6693913141886393)",0.10724596871010302
4,"(0.23019394, 0.53419256, 0.35078794)","(0.21812014, 0.5474903, 0.6679635)","(0.21229026, 0.5213628, 0.6020716)","(0.22898647, 0.5533028, 0.5278325)","(0.22072415, 0.49386472, 0.51365715)","(0.31905085, 0.5717475, 0.6860725)","(0.29978967, 0.45611364, 0.76305944)","(0.4150624, 0.5912487, 0.3928836)","(0.41483116, 0.45704907, 0.56061935)","(0.5019038, 0.6025241, 0.46248847)","(0.50245035, 0.46954343, 0.4984392)","(0.5011588, 0.5683449, 0.81737316)","(0.5001159, 0.49890372, 0.7851139)","(0.6860189, 0.5311294, 0.83835447)","(0.6995771, 0.49410737, 0.878095)","(0.83764803, 0.51689625, 0.5933268)","(0.896881, 0.4684041, 0.6685779)","(0.22485531121492386, 0.5235837697982788, 0.5207448303699493)",0.06000962108373642,"(0.28301148613293964, 0.520684560139974, 0.5999733010927836)",0.10903502193926763
5,"(0.22836338, 0.53467166, 0.43401113)","(0.21729194, 0.54663324, 0.61355036)","(0.21141522, 0.5205181, 0.57081056)","(0.22804755, 0.5519875, 0.49888563)","(0.21867803, 0.49398088, 0.5981401)","(0.31898534, 0.5696877, 0.6927589)","(0.3009715, 0.45527256, 0.7462106)","(0.41545194, 0.5883084, 0.38450757)","(0.41725275, 0.45733768, 0.5745666)","(0.50212073, 0.5992217, 0.43801382)","(0.5043919, 0.47509834, 0.48863608)","(0.50142926, 0.56639934, 0.8144927)","(0.5001906, 0.497253, 0.77406776)","(0.68616664, 0.52986014, 0.8408741)","(0.6979034, 0.49536824, 0.8632386)","(0.83599466, 0.51645124, 0.59632057)","(0.89548326, 0.4694942, 0.6596122)","(0.2233627885580063, 0.5229842066764832, 0.548512876033783)",0.05875847488641739,"(0.28277341028054553, 0.5198773145675659, 0.6243268748124441)",0.112770992637961
6,"(0.22700545, 0.5313474, 0.4830656)","(0.21593216, 0.54483044, 0.55365556)","(0.20998, 0.51824147, 0.51236635)","(0.22904, 0.5512025, 0.6167474)","(0.21722303, 0.49304628, 0.6151005)","(0.3184282, 0.56945, 0.69882774)","(0.29964352, 0.4542751, 0.7203853)","(0.41148174, 0.591023, 0.3958821)","(0.41552097, 0.457234, 0.5919657)","(0.5023478, 0.59913236, 0.42394614)","(0.5025892, 0.47790074, 0.48009238)","(0.5009221, 0.56576705, 0.81439596)","(0.49991614, 0.4961966, 0.755727)","(0.6862223, 0.5284127, 0.8351077)","(0.69791955, 0.49568063, 0.85782254)","(0.8357456, 0.5157927, 0.5888846)","(0.8956291, 0.4703207, 0.64090073)","(0.22313151508569717, 0.5221243798732758, 0.6159239411354065)",0.059344615787267685,"(0.28169238567352295, 0.5183575054009756, 0.6340928872426351)",0.11241704371069956
7,"(0.22680233, 0.52886015, 0.48124745)","(0.21535382, 0.5432971, 0.54603124)","(0.20969479, 0.51593286, 0.44273618)","(0.22946791, 0.55118793, 0.6152009)","(0.21808301, 0.49155748, 0.60504234)","(0.31888965, 0.56878054, 0.68161625)","(0.29848915, 0.454025, 0.6925424)","(0.4130585, 0.5905044, 0.37493676)","(0.41427147, 0.4575112, 0.60752434)","(0.50281453, 0.59810054, 0.3758741)","(0.5040449, 0.47750783, 0.50024855)","(0.49965113, 0.5646268, 0.81402)","(0.49908602, 0.49537012, 0.72874534)","(0.68501484, 0.52833366, 0.8413998)","(0.69703174, 0.49154085, 0.70742345)","(0.8355093, 0.51532626, 0.57809365)","(0.89303744, 0.47289604, 0.6406611)","(0.2237754613161087, 0.5213727056980133, 0.6101216077804565)",0.06070755422115326,"(0.2813937117656072, 0.5172218978404999, 0.6184686919053396)",0.1116363284982283
8,"(0.22547048, 0.5288603, 0.5029964)","(0.21409184, 0.5427566, 0.5306625)","(0.20847818, 0.51545936, 0.414501)","(0.2276969, 0.5501807, 0.66338664)","(0.21617132, 0.49080843, 0.5819818)","(0.317252, 0.56762266, 0.7162549)","(0.2948076, 0.4538903, 0.6654643)","(0.4117607, 0.5904087, 0.38202554)","(0.4103366, 0.45604432, 0.6123663)","(0.40926677, 0.6290539, 0.2657705)","(0.50307226, 0.47701308, 0.52145064)","(0.49804276, 0.5639719, 0.79987097)","(0.4972599, 0.49584508, 0.7082093)","(0.6856842, 0.5291047, 0.84013724)","(0.69786066, 0.49493966, 0.59604585)","(0.83583784, 0.5147643, 0.567817)","(0.8974916, 0.46895012, 0.7873442)","(0.22193410992622375, 0.5204945504665375, 0.6226842105388641)",0.060480594635009766,"(0.27917670210202533, 0.5167910754680634, 0.6282385190327963)",0.11009129698417912
9,"(0.22522199, 0.5276631, 0.49130908)","(0.21362966, 0.5417778, 0.4671266)","(0.20840588, 0.5141891, 0.39353475)","(0.22731987, 0.55013704, 0.6771247)","(0.21622169, 0.4901752, 0.60670733)","(0.31674632, 0.56756145, 0.7321055)","(0.29382, 0.45358157, 0.65202975)","(0.41194767, 0.5900597, 0.37075424)","(0.40995917, 0.45640272, 0.6205629)","(0.5035003, 0.5981737, 0.3434087)","(0.5043881, 0.47723645, 0.54221845)","(0.49849927, 0.56376386, 0.8013272)","(0.49718532, 0.49605137, 0.70333886)","(0.6863999, 0.52925813, 0.837249)","(0.6985633, 0.4946997, 0.5856125)","(0.83626956, 0.5150117, 0.5614907)","(0.894221, 0.4715718, 0.64803314)","(0.221770778298378, 0.5201561152935028, 0.6419160068035126)",0.06098027154803276,"(0.27859610319137573, 0.5162687102953593, 0.6251481076081594)",0.10915361977959781
