,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
0,"(0.22975457, 0.5324881, 0.4869677)","(0.21872835, 0.54744685, 0.6978214)","(0.21150754, 0.5208729, 0.6290764)","(0.23284912, 0.5551305, 0.6390747)","(0.22021735, 0.49583825, 0.51836187)","(0.31741238, 0.57263124, 0.8102968)","(0.29635584, 0.4590488, 0.7730516)","(0.40849063, 0.5980513, 0.44818014)","(0.41282198, 0.45852098, 0.5990833)","(0.502187, 0.59895456, 0.40898988)","(0.5006801, 0.479914, 0.44398084)","(0.50184834, 0.5682084, 0.81434894)","(0.5000719, 0.4994648, 0.79531777)","(0.68618274, 0.52961457, 0.84206045)","(0.6982905, 0.48949048, 0.88936555)","(0.8389888, 0.5165849, 0.5768409)","(0.8921181, 0.46801823, 0.7009284)","(0.22653323411941528, 0.5254843682050705, 0.5787182748317719)",0.06062284857034683,"(0.2811742623647054, 0.521389385064443, 0.6901053686936697)",0.10520773165654579
1,"(0.23045038, 0.5330899, 0.49885264)","(0.21995567, 0.5475857, 0.7196395)","(0.21194576, 0.52141696, 0.6443497)","(0.23426925, 0.5547205, 0.6871723)","(0.22023335, 0.49601173, 0.5262884)","(0.3183573, 0.5722244, 0.7993016)","(0.29589927, 0.4592993, 0.7756628)","(0.4081965, 0.5989116, 0.41548914)","(0.40977857, 0.45755154, 0.5522305)","(0.50355065, 0.6018399, 0.38103947)","(0.50549126, 0.47918162, 0.47849506)","(0.5020102, 0.5694096, 0.8128942)","(0.5001205, 0.50061804, 0.80613667)","(0.6866194, 0.53058237, 0.8328481)","(0.69917107, 0.49034488, 0.89205784)","(0.8389408, 0.51673824, 0.5803707)","(0.8937607, 0.46743596, 0.68587005)","(0.227251298725605, 0.5253661274909973, 0.6067303419113159)",0.060363300144672394,"(0.2815689792235692, 0.521537850300471, 0.6912723481655121)",0.10481528149207156
2,"(0.22987132, 0.5329102, 0.5015203)","(0.219039, 0.5473128, 0.7183509)","(0.21170351, 0.5206189, 0.61954325)","(0.23332164, 0.55481726, 0.65801585)","(0.2206507, 0.49503633, 0.51828265)","(0.31743595, 0.5744096, 0.7971082)","(0.29711455, 0.45726296, 0.7541765)","(0.4102282, 0.5965222, 0.4103527)","(0.41277856, 0.45873344, 0.5337175)","(0.5009217, 0.60364306, 0.41233942)","(0.50354314, 0.47837943, 0.48124176)","(0.50045234, 0.56978, 0.810787)","(0.49873218, 0.49936348, 0.7806554)","(0.6858687, 0.531897, 0.8468574)","(0.6984347, 0.4916837, 0.88885146)","(0.83973336, 0.5164254, 0.57446706)","(0.8943696, 0.46770164, 0.6899621)","(0.22698616981506348, 0.5249267965555191, 0.5881492495536804)",0.061109013855457306,"(0.28147393961747486, 0.5215275983015696, 0.6842683156331381)",0.10568623066290082
3,"(0.22935718, 0.53469497, 0.473594)","(0.21861738, 0.5478908, 0.71839976)","(0.21156874, 0.5212966, 0.60851574)","(0.23211084, 0.5540544, 0.6182059)","(0.22066024, 0.49371657, 0.50252575)","(0.31808013, 0.57429004, 0.79333854)","(0.2986086, 0.4556622, 0.74147797)","(0.41155863, 0.59399974, 0.40700418)","(0.41329867, 0.45819902, 0.5451634)","(0.49997255, 0.60299957, 0.42959118)","(0.50338703, 0.47563332, 0.5022473)","(0.50066525, 0.56810945, 0.8095119)","(0.49933815, 0.49816877, 0.77376163)","(0.6854775, 0.5306336, 0.846174)","(0.6987058, 0.4928912, 0.8814442)","(0.83887327, 0.5165081, 0.57958037)","(0.8954317, 0.46843433, 0.66958386)","(0.22638554126024246, 0.5238854736089706, 0.5603658258914948)",0.06141471862792969,"(0.2820153037707011, 0.5215490659077963, 0.6694701711336771)",0.10854846789445809
4,"(0.23078083, 0.5342858, 0.49548993)","(0.21919416, 0.54710567, 0.6640072)","(0.2127927, 0.5209099, 0.590985)","(0.23010069, 0.5518742, 0.5503963)","(0.21959107, 0.4943263, 0.6178147)","(0.3167035, 0.5732666, 0.78160334)","(0.3006721, 0.45523447, 0.752608)","(0.41456932, 0.5916431, 0.38814875)","(0.4139347, 0.45636174, 0.58066934)","(0.5001558, 0.60330844, 0.42526668)","(0.5022466, 0.47234267, 0.4927027)","(0.50244373, 0.5679823, 0.8136376)","(0.5011857, 0.49776858, 0.77737105)","(0.6863376, 0.52976227, 0.83183455)","(0.69983435, 0.49330503, 0.87556803)","(0.8382859, 0.51639926, 0.5860182)","(0.8956601, 0.4685416, 0.6681947)","(0.22484587877988815, 0.5231002569198608, 0.584105521440506)",0.058499712496995926,"(0.2827188124259313, 0.520928959051768, 0.6765670875708262)",0.10725594253722018
5,"(0.2290509, 0.533437, 0.4760959)","(0.21779403, 0.54607743, 0.6111934)","(0.21139109, 0.52025557, 0.55535656)","(0.22885877, 0.55088943, 0.51665324)","(0.21798526, 0.49411926, 0.58360904)","(0.31868607, 0.568693, 0.6891849)","(0.3006723, 0.4543504, 0.7221362)","(0.41401243, 0.5888687, 0.40603733)","(0.4143854, 0.4549992, 0.57500356)","(0.50147194, 0.5992434, 0.40893847)","(0.5007663, 0.47470316, 0.47212413)","(0.5017036, 0.56594837, 0.8107082)","(0.5003105, 0.49607033, 0.75994664)","(0.68642586, 0.52878577, 0.8313364)","(0.6980979, 0.4946978, 0.8668386)","(0.8378875, 0.51615244, 0.5875919)","(0.89271057, 0.46930155, 0.69907707)","(0.22342201322317123, 0.5225043445825577, 0.5501311421394348)",0.05780212953686714,"(0.28280308842658997, 0.5188268025716146, 0.6291390061378479)",0.11140476726964406
6,"(0.2279167, 0.53015906, 0.48769778)","(0.216646, 0.54378307, 0.53480834)","(0.2105583, 0.5173618, 0.46885446)","(0.22789848, 0.5500972, 0.49953473)","(0.21736813, 0.49230513, 0.61913884)","(0.31809753, 0.5678735, 0.69455224)","(0.29969564, 0.45344815, 0.69359964)","(0.41065452, 0.5902521, 0.3960362)","(0.4153533, 0.4549466, 0.6043406)","(0.5026875, 0.5997086, 0.4052374)","(0.5024605, 0.477578, 0.4850687)","(0.5014721, 0.5650767, 0.8110113)","(0.5002221, 0.49471515, 0.7380698)","(0.6863586, 0.5266739, 0.82637495)","(0.6977122, 0.49513102, 0.86061597)","(0.83703566, 0.5155329, 0.5815085)","(0.8937351, 0.47060943, 0.66453946)","(0.22263330221176147, 0.5212011784315109, 0.55933678150177)",0.058743637055158615,"(0.28190329174200696, 0.5171602269013723, 0.6252832214037577)",0.1110589279065566
7,"(0.22764215, 0.52855265, 0.4904815)","(0.21569175, 0.54254985, 0.53360194)","(0.21015203, 0.5153212, 0.42361504)","(0.22898178, 0.5500927, 0.62406224)","(0.21831882, 0.4906863, 0.64410245)","(0.31810212, 0.5669518, 0.68973386)","(0.29890752, 0.45364064, 0.67899764)","(0.41443035, 0.58792204, 0.3973243)","(0.41581517, 0.45560417, 0.6147379)","(0.5031127, 0.59868205, 0.3541923)","(0.5039026, 0.47878116, 0.49427772)","(0.5011308, 0.5638287, 0.8119073)","(0.50021297, 0.4944687, 0.73403376)","(0.686135, 0.5269934, 0.8282737)","(0.698559, 0.49391124, 0.5718297)","(0.8370286, 0.51486856, 0.570705)","(0.8935637, 0.47138402, 0.6538453)","(0.22365029901266098, 0.5203894972801208, 0.6340823471546173)",0.060355767607688904,"(0.2815505961577098, 0.5163817008336385, 0.6197376648585001)",0.11053058837347013
8,"(0.22572838, 0.5278401, 0.48528928)","(0.21463943, 0.54186267, 0.5108489)","(0.20884919, 0.51460046, 0.39567614)","(0.22804284, 0.5495753, 0.6496364)","(0.21649602, 0.49020272, 0.60685694)","(0.31744683, 0.565484, 0.7000059)","(0.29570958, 0.4535, 0.6558184)","(0.41417676, 0.58664054, 0.41094112)","(0.41143844, 0.45483753, 0.6175383)","(0.40893012, 0.6267083, 0.23332983)","(0.5029495, 0.47829995, 0.50560087)","(0.49982128, 0.56297594, 0.8036339)","(0.49874353, 0.4946762, 0.7120639)","(0.6861496, 0.52722734, 0.82376623)","(0.6983918, 0.49431068, 0.5765491)","(0.8362675, 0.51432997, 0.56841457)","(0.8926384, 0.4726306, 0.6428228)","(0.2222694307565689, 0.5198890268802643, 0.6282466650009155)",0.06048499792814255,"(0.27962826192379, 0.5156080226103464, 0.613704522450765)",0.11054086475872132
9,"(0.2254653, 0.5275292, 0.4725321)","(0.21399233, 0.5416722, 0.4526114)","(0.20868598, 0.5141323, 0.3976976)","(0.22699806, 0.54992616, 0.68266475)","(0.21599185, 0.48999453, 0.63532627)","(0.31649706, 0.56612676, 0.72058105)","(0.29458725, 0.4534943, 0.65015316)","(0.41419896, 0.58682173, 0.39349717)","(0.4102155, 0.45421383, 0.6305546)","(0.40761602, 0.6278346, 0.23521686)","(0.5038252, 0.47748876, 0.5264366)","(0.5003596, 0.5629722, 0.8022095)","(0.49879822, 0.49508762, 0.71492827)","(0.6861073, 0.52910554, 0.83448076)","(0.698435, 0.4939948, 0.5773095)","(0.8368399, 0.5148419, 0.56155133)","(0.8925923, 0.4714188, 0.6625395)","(0.22149495780467987, 0.519960343837738, 0.658995509147644)",0.060933880507946014,"(0.27884986996650696, 0.5157167514165243, 0.6144221027692159)",0.10935165341970626
