,nose,left_eye,right_eye,left_ear,right_ear,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,face_center,face_width,chin,face_height
10,"(0.37548086, 0.449984, 0.37396872)","(0.3630339, 0.4637693, 0.510568)","(0.36564058, 0.4400061, 0.5535401)","(0.3734243, 0.4821938, 0.54768956)","(0.37388846, 0.42306885, 0.53898704)","(0.42034018, 0.5222069, 0.678342)","(0.41861817, 0.38795662, 0.55250436)","(0.52273643, 0.5321773, 0.6392665)","(0.5039494, 0.32408744, 0.7464604)","(0.5733465, 0.5176103, 0.21692643)","(0.43747526, 0.39745557, 0.5594171)","(0.5931082, 0.49444342, 0.7246571)","(0.5974128, 0.41448268, 0.6605938)","(0.79349625, 0.5211843, 0.5988743)","(0.7931253, 0.4314681, 0.67482316)","(0.943854, 0.54765356, 0.7075467)","(0.9184828, 0.45428059, 0.79378307)","(0.37365637719631195, 0.4526313245296478, 0.5433382987976074)",0.05912676826119423,"(0.4048130710919698, 0.4533825119336446, 0.5349383552869161)",0.05905686642016893
11,"(0.37524533, 0.44967437, 0.36896074)","(0.36284608, 0.46357283, 0.50722986)","(0.3655125, 0.4396575, 0.54846734)","(0.3731742, 0.4825552, 0.5537835)","(0.3736946, 0.42288563, 0.53911895)","(0.42015046, 0.52240855, 0.67638516)","(0.4182272, 0.38828188, 0.5489273)","(0.5222436, 0.53194326, 0.63834107)","(0.5036716, 0.32408708, 0.74609447)","(0.57367307, 0.51854897, 0.21318331)","(0.4370129, 0.39748296, 0.5575147)","(0.5924468, 0.49437386, 0.7232729)","(0.59675467, 0.41460127, 0.66945606)","(0.79326576, 0.52119803, 0.60345405)","(0.793095, 0.43149352, 0.67718065)","(0.94376224, 0.5476593, 0.7087565)","(0.91856265, 0.45437247, 0.7948059)","(0.3734343945980072, 0.45272041857242584, 0.546451210975647)",0.059671852737665176,"(0.4045409957567851, 0.4534549315770467, 0.5314244031906128)",0.05907718796859269
12,"(0.37557983, 0.4498126, 0.3763283)","(0.36297938, 0.46392614, 0.5139708)","(0.3656857, 0.43954524, 0.5556891)","(0.3731707, 0.48286492, 0.56011176)","(0.37382424, 0.42308623, 0.54500216)","(0.4201703, 0.5225446, 0.6790369)","(0.41798812, 0.38791883, 0.5513341)","(0.5221702, 0.5321127, 0.63809776)","(0.5039353, 0.3240626, 0.7489057)","(0.5738262, 0.5191518, 0.21290857)","(0.4368546, 0.3976624, 0.5558922)","(0.59212124, 0.49426556, 0.7228937)","(0.59643805, 0.4145183, 0.6720667)","(0.79318464, 0.52122885, 0.6032845)","(0.7930243, 0.43147385, 0.67800665)","(0.94375366, 0.54760164, 0.70924556)","(0.918442, 0.45441684, 0.79361206)","(0.37349747121334076, 0.4529755711555481, 0.552556961774826)",0.05978225916624069,"(0.40457942088445026, 0.4534253478050232, 0.5355664292971293)",0.058447516681510485
13,"(0.3803882, 0.45069182, 0.37452066)","(0.3689761, 0.46789765, 0.49789408)","(0.36766273, 0.4410859, 0.43091637)","(0.37285793, 0.4870939, 0.63929975)","(0.3681153, 0.42019463, 0.58321095)","(0.41178113, 0.5216956, 0.63347507)","(0.41316676, 0.37621582, 0.61116266)","(0.51840675, 0.52995694, 0.6799736)","(0.52622366, 0.3298266, 0.6708731)","(0.5527848, 0.46838868, 0.21956515)","(0.47303927, 0.3771269, 0.24446175)","(0.6025804, 0.496124, 0.73846686)","(0.6122323, 0.41268933, 0.7532814)","(0.7815062, 0.51617634, 0.6590418)","(0.78689015, 0.424088, 0.6932428)","(0.92194504, 0.5480829, 0.62573147)","(0.92225635, 0.44976363, 0.71619356)","(0.37048661708831787, 0.453644260764122, 0.6112553477287292)",0.06706716120243073,"(0.4017786979675293, 0.44953441619873047, 0.5397194623947144)",0.042843574681679264
14,"(0.40169463, 0.44672236, 0.5180578)","(0.38536268, 0.45874316, 0.4380362)","(0.3891965, 0.43395934, 0.49458617)","(0.37555933, 0.48570094, 0.5702527)","(0.3810975, 0.41983867, 0.5654374)","(0.41336688, 0.52335715, 0.6013535)","(0.41809213, 0.39047384, 0.6352128)","(0.50485206, 0.5192822, 0.5497405)","(0.5192846, 0.33720917, 0.59358567)","(0.5110635, 0.42861626, 0.21952868)","(0.49524742, 0.3639472, 0.36513317)","(0.6182718, 0.4980743, 0.740596)","(0.6203988, 0.41847557, 0.7113347)","(0.78642046, 0.52304035, 0.60255265)","(0.79111385, 0.42776704, 0.7492137)","(0.9207113, 0.54812956, 0.69380486)","(0.91607016, 0.45779335, 0.53695136)","(0.378328412771225, 0.45276980102062225, 0.5678450465202332)",0.06609470397233963,"(0.4110512137413025, 0.45351778467496234, 0.584874709447225)",0.02312778058678101
15,"(0.39324808, 0.45233172, 0.35871252)","(0.37742102, 0.47166193, 0.39086133)","(0.3771507, 0.43799326, 0.42489865)","(0.37286612, 0.49086982, 0.6099933)","(0.37077063, 0.42084894, 0.58395964)","(0.41808042, 0.52021897, 0.64990175)","(0.4133271, 0.37757728, 0.7077808)","(0.5217796, 0.5296594, 0.6903944)","(0.5235481, 0.33885592, 0.6702416)","(0.55153394, 0.45131096, 0.28406787)","(0.53075075, 0.3788912, 0.29371318)","(0.61505175, 0.49145505, 0.7433612)","(0.61909133, 0.4113645, 0.7453306)","(0.7849984, 0.5214566, 0.6669401)","(0.7926652, 0.42919666, 0.7477114)","(0.9118459, 0.54145324, 0.63713825)","(0.9206022, 0.45134136, 0.68382305)","(0.3718183785676956, 0.45585937798023224, 0.5969764590263367)",0.07005223631858826,"(0.40821853280067444, 0.45004265507062274, 0.5721316834290823)",0.030288892176675762
16,"(0.38573754, 0.45776063, 0.5130578)","(0.36744136, 0.47391772, 0.39494312)","(0.36643565, 0.44637436, 0.57303506)","(0.3636268, 0.4964213, 0.6212395)","(0.36028978, 0.42561433, 0.6806577)","(0.41552937, 0.5195509, 0.63817835)","(0.41447663, 0.37960368, 0.71614116)","(0.52395713, 0.5358577, 0.6846248)","(0.51611686, 0.35506475, 0.6026323)","(0.5891803, 0.5065598, 0.5488397)","(0.568559, 0.386712, 0.31157306)","(0.62168926, 0.49432474, 0.76993215)","(0.6257819, 0.4122649, 0.7327883)","(0.78070825, 0.5159589, 0.7097097)","(0.7904138, 0.4348756, 0.7801292)","(0.9066796, 0.54276407, 0.7863847)","(0.91747516, 0.45479536, 0.7518536)","(0.3619582951068878, 0.46101781725883484, 0.6509485840797424)",0.070885568857193,"(0.40524784723917645, 0.4523050785064697, 0.6224591135978699)",0.040517414417378654
17,"(0.37224555, 0.46719047, 0.48881322)","(0.35892615, 0.48074704, 0.4982032)","(0.3572783, 0.45667768, 0.5459484)","(0.36111516, 0.4991786, 0.44969553)","(0.35714146, 0.4339573, 0.5561361)","(0.41796824, 0.52143013, 0.58180285)","(0.42296204, 0.38740075, 0.6996374)","(0.52943724, 0.5325927, 0.70422786)","(0.53890824, 0.36442718, 0.55027384)","(0.58522165, 0.48642263, 0.43968666)","(0.6099231, 0.38800842, 0.49391407)","(0.61208844, 0.49096006, 0.6054826)","(0.62152815, 0.4149061, 0.6243631)","(0.775144, 0.52219033, 0.6166328)","(0.786345, 0.43592995, 0.70407426)","(0.9084737, 0.5427203, 0.6093819)","(0.91645014, 0.45492685, 0.52002937)","(0.35912831127643585, 0.4665679484605789, 0.5029157996177673)",0.06534221768379211,"(0.40439194440841675, 0.4586737851301829, 0.5900844931602478)",0.06651089105971986
18,"(0.3739571, 0.46752167, 0.55309314)","(0.35751542, 0.48493704, 0.60094774)","(0.35428214, 0.45191896, 0.5787191)","(0.36471772, 0.50055313, 0.5808509)","(0.3563269, 0.42852414, 0.58382654)","(0.42158538, 0.51718616, 0.6718821)","(0.42227924, 0.3865336, 0.6604299)","(0.53245103, 0.53459346, 0.47954604)","(0.5406227, 0.3684432, 0.56856775)","(0.5447595, 0.4865046, 0.2730491)","(0.58563477, 0.37746274, 0.266778)","(0.59608746, 0.49081716, 0.5824856)","(0.613909, 0.4190244, 0.7285453)","(0.7774854, 0.5194706, 0.6745583)","(0.789176, 0.43779823, 0.743913)","(0.908956, 0.54151595, 0.72976875)","(0.9182181, 0.4550274, 0.57011)","(0.3605223149061203, 0.4645386338233948, 0.5823387205600739)",0.0725160762667656,"(0.40594057242075604, 0.457080473502477, 0.628468374411265)",0.06728926207799656
19,"(0.3731088, 0.47433075, 0.44243354)","(0.36100268, 0.48952317, 0.6820699)","(0.35734913, 0.4574636, 0.50469923)","(0.37131286, 0.5055107, 0.64401054)","(0.3610582, 0.43663877, 0.48386073)","(0.4289405, 0.52171487, 0.71248084)","(0.42056975, 0.40010226, 0.6954735)","(0.5293607, 0.5126343, 0.55015653)","(0.5365474, 0.37784833, 0.4605775)","(0.51894677, 0.4406023, 0.26142323)","(0.52842, 0.39022148, 0.3466427)","(0.6098335, 0.49193797, 0.59158885)","(0.61726755, 0.42253572, 0.73343456)","(0.7825018, 0.528482, 0.7184355)","(0.79784155, 0.43479562, 0.6538153)","(0.9111737, 0.5425598, 0.7332783)","(0.91889274, 0.45651436, 0.4951706)","(0.3661855310201645, 0.4710747301578522, 0.5639356374740601)",0.06963115930557251,"(0.40753968556722003, 0.4653826256593068, 0.6167959570884705)",0.07114926772409273
